ten	он
once removed	зукъари
male cousin	зукъари къардаш
female cousin	зукъари къызкъардаш
brick	керпич
nut	къоз
few	бир-нече
Monday	итнингюн
Tuesday	талатгюн
Wednesday	арбагюн
Thursday	хамисгюн
Friday	жумагюн
Saturday	сонгугюн
Sunday	къаттыгюн
Chechen	мычыгъыш
Chechen	мычыгъышлы
Kalmyk	къалмукъ
Avar	аварлы
Lak	къазикъумукъ
Azerbaijani	азербайжан
Azerbaijani	азербайжанлы
congratulate	къутламакъ
suppose	ёрамакъ
when	къачан
wart	сюел
cheese	бишлакъ
look	кюц
sew	тикмек
learn	уьйренмек
calm down	тынышмакъ
smile	иржаймакъ
hit	урмакъ
convince	инандырмакъ
touch	тиймек
flow	акъмакъ
carry	ташымакъ
build	къурмакъ
run	чапмакъ
white	акъ
long time no see	сизин гёрмегеним кёп бола
how	нечик
cook	ашбаз
cook	къазанчы
fisherman	балыкъчы
gardener	бавчу
bricklayer	ташчы
bricklayer	чырчы
wall	чыр
hairdresser	деллекчи
interpreter	тилмач
translator	гёчюрювчю
hunter	авчу
vendor	сатывчу
peddler	элтивчю
peddler	табушдурувчу
teacher	охутувчу
teacher	уьйретивчю
writer	язывчу
loader	юклевчю
loader	гьаммал
farmer	сабанчы
smith	темирчи
iron	темир
silver	гюмюш
sulfur	кюкюрт
mercury	гюнесув
driver	юрютювчю
free	эркин
freedom	эркинлик
bear	аюв
bat	гечекъуш
bat	варкъанат
sheep	ирк
lion	арсланкъаплан
badger	порсукъ
squirrel	атъялман
trader	савдюгер
achieve	къазанмакъ
win	утмакъ
lose	утдурмакъ
sing	йырламакъ
poor	пакъыр
slender	субай
third	уьчюнчю
fourth	дёртюнчю
seventh	еттинчи
ninth	тогъузунчу
stallion	айгъыр
thief	уручу
lie	ялгъан айтмакъ
lie	ялгъан
sack	дорба
a little	бираз
become tired	арымакъ
tiredness	арымакълыкъ
mallard	къырбабиш
skylark	торгъай
chicken	тавукъ
grey partridge	къакъма
swan	къув
greylag goose	къыркъаз
wild	къыр
sparrow	жымчыкъ
black	къара
blackbird	къаратавукъ
solved	чечилмек
break	юлкъунмакъ
common swift	къайчыкъанат
scissors	къайчы
crane	турна
brown	къонгур
dye	бояв
lead	къоргъашын
spider	мия
linden	ёге
wither	солмакъ
bee	балжибин
fly	жибин
wasp	тележибин
ant	къомурсгъа
woman	къатын
daughter-in-law	гелин
marry	уьйленмек
let out	чыгъармакъ
smell	ийис
messenger	элчи
embassy	элчихана
let go	йибермек
again	дагъы
lung	оьпке
fingernail	тырнакъ
down	тюпге
down	тёбенге
up	уьстге
up	оьрге
get engaged	гелешинмек
green	яшыл
wash	жувмакъ
calm	юваш
burn	гюймек
go out	сёнмек
darkness	къарангылыкъ
light	ярыкъ
think	ойламакъ
about	гьакъында
except	къайры
furthermore	ондан къайры
against	къаршы
according	гёре
despite	къарамайлы
next to	янында
after	сонг
bottom	тюп
tear	гёзьяш
shit	покъ
behind	артында
river	къойсув
in front of	алдында
here	шунда
person	гиши
trade	савдюгерлик
great	уллу
was	эди
new	янгы
anew	янгыдан
old	эсги
a few	бир нече
earlier	алда
now	гьали
another	башгъа
another	оьзге
wide	генг
worm	хурт
thick	къалын
thin	назик
thin	инче
thin	юкъкъа
small	гиччи
kill	оьлтюрмек
split	бёлмек
sole	ултан
neck	боюн
busy	ишли
busy	машгъул
different	тюрлю
heavy	авур
Kumyk	къумукъ
Dagestan	Къумукътюз
nominative case	баш падеж
genitive case	еслик падеж
dative case	багъым падеж
accusative case	тюшюм падеж
harvest	тюшюм
locative case	ер падеж
ablative case	чыгъым падеж
interesting	къужурлу
put	салмакъ
world	дюнья
fly	учмакъ
but	амма
split	ярмакъ
ready	гьазир
revenge	оьч
for	учун
border	дазу
nobody	гьеч ким
nothing	гьеч зат
participation	ортакъчылыкъ
participate	ортакъчылыкъ этмек
participant	ортакъчы
crow	къаргъа
go	гетмек
run away	къачмакъ
brand	дамгъа
calf	бузав
write	язмакъ
impoverish	ярлылашмакъ
impoverish	касиплешмек
impoverish	мискинлешмек
improve	яхшылашдырмакъ
water	сугъармакъ
live	яшамакъ
today	бугюн
red	къызыл
together	бирче
together	бирге
together	бирликде
labour	къыйын
believe	инанмакъ
hang	илинмек
chew	чайнамакъ
chew	гюйшемек
shah	шагь
morning	эртен
orach	алабота
henbane	гезеген
heat	исси
cast iron	чоюн
common	ортакъ
file	эгев
stick	таякъ
root	тамур
seed	урлукъ
ceiling	пурха
translation	таржума
translation	гёчюрюв
problem	масъала
mineral	маъдан
occurrence	агьвалат
mad person	авлия
shameful	биябур
greedy	дамагькар
headache	бузна
conscience	месеп
harm	зарал
weak	зайып
wealth	девлет
angel	периште
cheek	яякъ
spider	мияма
wife	олжа
donkey	гьама
command	буюрмакъ
play	ойнамакъ
to one's heart's content	къангъынча
soil	топуракъ
handful	увуч
farmer	топуракъчы
hammer	чёкюч
pluck	уьтмек
lip	эрин
dance	бийимек
dance	бийив
dancer	бийивчю
chest	тёш
magpie	савусгъан
eyebrow	къаш
croup	савру
bow	жая
left-handed	солагъай
trumpet	быргъы
bead	минчакъ
goat	эчки
sleeve	енг
red	жийрен
knee	тобукъ
knee	тиз
stomach	къарын
back	аркъа
be afraid	къоркъмакъ
silk	йибек
shirt	гёлек
word	сёз
singer	йырчы
singer	сарынчы
game	оюн
toy	оюнчакъ
slaughter	соймакъ
coal	кёмюр
lake	кёл
short	къысгъа
flower	чечек
blind	сокъур
bark	къабукъ
gut	ичек
blind gut	сокъур ичек
leave	къоймакъ
work	ишлемек
factory	кархана
scratch	тырнамакъ
swim	юзмек
lie	ятмакъ
sweep	сибирмек
blue	гёк
full	толу
like	йимик
embrace	къучакъ
sky	кёк
bell	къонгурав
frost	къырав
hawk	къарчыгъа
brown	гюрен
pearl	инжи
knife	бичакъ
sickle	оракъ
whetstone	билев
student	охувчу
read	охумакъ
flame	ялын
mud	балчыкъ
band	тасма
nature	битим
salary	алапа
blessing	алгъыш
buffalo	гамиш
weak	осал
chair	шанжал
clothes	опуракъ
unnecessary	тарыкъсыз
key	ачгъыч
jail	туснакъ
scandal	къалмагъал
science	илму
due	тийишли
answer	жавап
dirty	кирли
cloth	гийим
wear	гиймек
cold	сувукъ
deliver	етишдирмек
hope	умут
gather	жиймакъ
mind	гьакъыл
braggy	макътанчыкъ
hold up	токътамакъ
play	сокъмакъ
accordeon	аргъан
carpet	хали
kamancheh	жыкъы
zurna	зурнай
tambourine	теп
chonguri	чёгюр
notice	эслемек
turn	гезик
position	гезикли
ordinal number	гезикли санавлукъ
numeral	санавлукъ
number	санав
especially	айрокъда
especially	айрыча
diversity	тюрлюлюк
plump	бедев
smell	ийислемек
spark	учгъун
friends	дос-ювукъ
respect	абур-сый
parents	ата-ана
need	тарыкъ-герек
purchase	сатыв-алыв
trade	алыш-бериш
inner	ичгери
each	гьар
there is not	ёкъ
check	тергев
examine	тергемек
of course	озокъда
herd	сирив
solitary	янгыз
society	жамият
criminal	яманлы
remember	эсгермек
debtor	борчлу
healthy	эсен
safe	эсен-аман
resemble	ошамакъ
soft	йымышакъ
singer	йырав
sound	тавуш
voice	тавушлу
sonority	тавушлулукъ
soundless	тавушсуз
soundlessness	тавушсузлукъ
smile	кюлемсиремек
local	ерли
hair	къыл
know	танымакъ
change	алышдырмакъ
nostril	танав
village	авул
destiny	язгъан
when the cat's away the mice will play	мишик ёкъ ерде чычкъан баш гётерир
ring	юзюк
situation	гьал
sin	гюнагь
envious	гюнчю
strong	гючлю
mushroom	иткъычыв
butterfly	гёбелек
foam	гёбюк
beautiful	гёзел
desert	дангыл
sail	елкен
udder	елин
legal	законлу
fasten	илмек
hook	илгик
noise	къавгъа
refugee	къачгъын
lamb	къозу
scab	къотур
stork	лакълакъ
thousand	минг
scales	мизан
reporter	мухбир
arrow	окъ
disciplined	низамлы
question	сорав
ask	сорамакъ
God	Аллагь
God	тенгири
horizon	уфукъ
bush	уьлкю
soup	шорпа
twin	эгиз
bedding	тёшек-ястыкъ
mattress	тёшек
pillow	ястыкъ
thin mattress	налча
blanket	ювургъан
pillow case	ястыкъ тыш
pillow case	бойлукъ тыш
bedsheet	шаршав
spoil	эркелетмек
spoiled	эркелемек
man	эркек
darling	эрке
forgetful	эссиз
upper	оьрдеги
fire	оьртен
hatred	оьчлюк
divide	пайламакъ
threshold	посагъа
pharaoh	пиравун
cup	пинжан
hobble	бугъав
stirrup	оьзенги
orphan	оьксюз
orphan	етим
nausea	ошгъув
kiss	оьпмек
kiss	оьбюш
dead person	оьлю
death	оьлюм
elder	палам
above	уьстюнден
on	уьстюне
success	уьстюн
top	уьст
on	уьстюнде
button	тюйме
make a mountain out of a molehill	тюймеден тюе этмек
catfish	яйын
flat	ялпакъ
flat	япалакъ
patch	ямав
bag	янчыкъ
slot	япсар
peace	ярашывлукъ
reconciliation	ярашыв
poverty	ярлылыкъ
pedestrian	яяв
on foot	яявлап
nothingness	ёкълукъ
viburnum	ётелбалам
urgent	алгъасавлу
haste	алгъасав
family	агьлю
whirlpool	айланма
aspen	акътерек
fool	агьмакъ
sober	айыкъ
branch	айрыкъ
lose weight	азмакъ
flow	агъым
poison	агъу
field	авлакъ
December	тунлу
November	маййилик
ram	къочкъар
threshing floor	инныр
wild animal	къыржан
May	гюльжан
April	майсан
March	оьрткий
silk	чилле
silkworm	чиллехурт
January	аювятгъан
influential	абурлу
topic	мавзу
cold	тумав
cough	ётел
infection	югъув
infectious	югъагъан
spread	юкъмакъ
infect	юкъдурмакъ
freckle	сепкил
stranger	гелгинчи
moth	гюе
give birth	тувдурмакъ
so	шолай
family	уьягьлю
grow	оьсдюрмек
grow	оьсмек
doubt	шеклик
dense	сыкъ
dense	тыгъыс
unmarried	эрге бармагъан
marry	эрге бармакъ
married	эрге баргъан
sycophant	гётенчи
ass	гётен
arrogant	гётенли
stay	къалмакъ
thank you	савбол
be late	гечикмек
harvest	гелим
because of	саялы
therefore	шу саялы
guard	сакъламакъ
choose	сайламакъ
honor	абурламакъ
connected	байлавлу
tool	къурал
genus	къавум
pride	оьктем
pride	оьктемлик
width	генглик
take down	эндирмек
come down	энмек
download	эндирме
broad	энли
textbook	дарс китап
share	ортакълашмакъ
grief	къайгъы
hit	урув
raid	чапгъын
arm oneself	савутланмакъ
armed	савутлу
armed	савутлангъан
bowl	савут
arm	савутландырмакъ
neighbor	хоншу
puffy	къабарыкъ
emaciated	азгъан
diarrhea	курсакъ тийив
diarrhea	ичи гетив
rotten	чирик
breath	тыныш
breath	тыныш алмакъ
stop	тыныв
stop	тынмакъ
chest	кёкюрек
press	басмакъ
clap	къакъмакъ
back	сырт
stomach	къурсакъ
carry	элтмек
rope	аркъан
thread	йип
sign	белги
time	керен
knowledge	билим
a lot	хыйлы
cool	салкъын
watch	къаравул
honor	сыйламакъ
count	санамакъ
prosperity	уьюгюзге яхшылыкъ
hello good day	гюн яхшы болсун
side	якъ
which	къайсы
yesterday	тюнегюн
tomorrow	тангала
maple	уьрге
graceful	зафир
military	гьарби
member	аъза
organization	ташкилат
body	гёвде
free	гьюрр
noble	шариф
related	даир
innate	халкъи
memorization	гьифз
side	жигьгьат
part	къысым
related	касби
neglected	мугьмал
deceased	маргьум
congratulation	табрик
preface	мукъаддима
stomach	миъда
praxis	тажриба
independent	мустакъил
independence	истикълал
close communication	мусагьаба
conversation	сугьбат
man of letters	адип
borderline	саргьат
plane	къалкъмакъ
praise	макътамакъ
brag	макътанмакъ
self-praise	макътаныв
forward	алгъа
get used	алышмакъ
cave	анакъ
character	къылыкъ
lift	гётермек
female slave	къараваш
gift	савгъат
something	бир зат
century	асру
century	юзйыл
contemporary	асрудаш
break	бузмакъ
New Year	Янгы йыл
Snow Maiden	къар къыз
indecisive	жанавар
slow	аста
for free	тегин
venerable elder	тамаза
clap	харс урмакъ
easy	тынч
thrust into	къадамакъ
quarrel	эришмек
burn	янмакъ
millet	тари
cradle	бешик
carrot	чыта
unripe cucumber	гижав
eggplant	бадиржан
food supplies	ашарлыкъ
collar	ягъа
fuel	ягъарлыкъ
doze	юхусырамакъ
doze off	къалгъымакъ
dissolve	тозмакъ
lengthen	созмакъ
overtake	озмакъ
clear	мекенли
aunt	эгечи
dove	гёгюрчюн
government	гьукумат
faded	сёнюк
extinguish	сёндюрмек
love	сююв
mosque	межит
ash	кюл
spade	кюрек
unite	бирлешмек
old man	акъсакъал
