Gujarati	ગુજરાતી
sweet lime	મોસંબી
bucket	બાલદી
barrack	બરાક
cork	બૂચ
button	બુતાન
button	બોરિયું
redness	રતાશ
redness	લાલાશ
spiciness	તીખાશ
greenness	લીલાશ
wetness	ભીનાશ
yellowness	પીળાશ
snake	એરુ
snake	સાપ
white	ઊજળું
festival	ઓચ્છવ
smooth	સુંવાળું
soft	પોચું
uneven	ખડબચડું
high	ઊંચું
low	નીચું
blunt	આખાબોલું
unmeasured	અણમાપ્યું
unbroken	અણતોડ
unliked	અણગમતું
peace	અણયુદ્ધ
civility	માણસાઈ
yellowness	પીળાપણું
yellowness	પીળપ
ice	બરફ
cnidarian	શૂલપ્રાણી
gold	સોનું
rain	વરસાદ
coffee	કહવા
coffee	કૉફી
all	સહુ
bottle	બાટલી
mother	મહિયર
Sunday	રવિવાર
bear	રીંછ
lock	તાળું
aeroplane	વિમાન
mouse	ઉંદર
leprosy	કોઢ
leprosy	ઋક્ષજિહ્વ
book	પુસ્તક
acerbity	આકરાપણું
water	પાણી
eggplant	બ્રિંજલ
fire hydrant	બંબો
alpaca	અલ્પાકા
hurricane	હરિકેન
rickshaw	રિક્ષા
parents	માવતર
church	ગિરજા
pay	પગાર
bread	પાઉં
pistol	પિસ્તોલ
beloved	محبوب
excrement	હંગણ
anus	હંગણી
hastiness	હંગપાદ
coercion	બળજબરી
coercion	જબરદસ્તી
neuter	નાન્યતર
badger	ગાંડ આંગળી કરવું
perform	સારું કરવું
do	કરવું
Monday	સોમવાર
Wednesday	બુધવાર
Thursday	ગુરુવાર
Tuesday	મંગળવાર
Saturday	શનિવાર
Friday	શુક્રવાર
Rajasthan	રાજસ્થાન
flour	લોટ
shiver	ધ્રૂજવું
shake	થરથરવું
hesitate	અચકાવું
lisp	તોતડાવું
crooked	વાંકું
bend	મરડવું
twist	આમળવું
knotted	અમળાવું
hesitation	આનાકાની
convolution	આમળો
animus	અંટસ
fear	ત્રાસવું
tremble	કમકમવું
topple over	ઉથલાવવું
horizontal	આડું
big	મોટું
all	બધું
many	ઘણું
small	નાનું
little	થોડું
short	ટૂંકું
yellow	પીળું
green	લીલું
black	કાળું
white	સફેદ
white	ધોળું
blue	નીલું
clean	સાફ
dirty	ગંદું
sick	માંદું
true	સાચું
wrong	ખોટું
asphalt	ડામર
dog	કૂતરો
consonant	ક
groan	ઠીનક
name	નામ
jackfruit	ફણસ
election manifesto	ચૂંટણીઢંઢેરો
apple	સફરજન
leprosy	કાકણ
mathematics	ગણિત
leprosy	સિધ્મ
motorcycle	મોટરસાયકલ
shake	ખંખેરવું
cat	બિલાડી
child	બચ્ચું
child	બાળક
ઘર	ઘરનું માણસ
house	ઘર
sunlight	તડકો
tooth	દાંત
cold	ઠંડું
innumerable	અગણિત
expensive	મોંઘું
meaning	અર્થ
one	એક
high	ઊંચુંનીચું
dry	સૂકું
wet	ભીનું
weighty	ભારું
full	આખું
ripe	પાકું
unripe	કાચું
straight	સીધું
old	જૂનું
incomplete	અધૂરું
blind	આંધળું
dark	અંધારું
bitter	કડવું
idle	નવરું
new	નવું
weak	નબળું
first	પહેલું
last	છેલ્લું
second	બીજું
early	વહેલું
open	ખુલ્લું
easy	સહેલું
cheap	સસ્તું
script	લિપિ
world	જગત
goods	સામાન
January	જાન્યુઆરી
larynx	સ્વરપેટી
chamcha	ચમચો
metal	ચાવી
die	મરવું
fly	ઊડવું
fear	ડરવું
cry	રડવું
fall	પડવું
hold	પકડવું
catch	પકડી લેવું
take	લેવું
give	આપવું
eat	ખાવું
eat	ખાઈ જવું
go	જવું
drink	પીવું
happy	ખુશ
draw	દોરવું
write	લખવું
awaken	જાગવું
walk	ચાલવું
come	આવવું
sew	સીવવું
believe	માનવું
count	ગણવું
recognize	ઓળખવું
know	જાણવું
speak	બોલવું
say	કહેવું
fight	લડવું
call	બોલાવવું
inform	જણાવવું
learn	શીખવું
study	ભણવું
teach	ભણાવવું
understand	સમજવું
explain	સમજાવવું
swim	તરવું
sink	ડૂબવું
stay	રહેવું
set	આથમવું
see	જોવું
increase	વધવું
worsen	બગડવું
kill	મારી નાખવું
escape	બચવું
save	બચાવવું
dance	નાચવું
begin	રડી પડવું
lose	હારવું
win	જીતવું
blow	ફૂંકવું
quickly	ફટાફટ
sit	બેસવું
touch	અડવું
reach	પહોંચવું
erase	ભૂંસવું
inside	ઘૂસવું
get up	ઊઠવું
get in the way	નડવું
get in the way	વચ્ચે આવવું
wear	પહેરવું
chew	ચાવવું
desire	ઇચ્છવું
stop	અટકવું
Hind	હિંદી
play	રમવું
serve	પીરસવું
lick	ચાટવું
think	વિચારવું
welcome	સ્વીકારવું
lengthen	લંબાવું
lengthen	લંબાઈ જવું
open	ખોલવું
run	દોડવું
freeze	થીજવું
cool	ઠરવું
lose one's temper	ભડકી જવું
rub	ઘસવું
cut	કાપવું
bound	બંધાવું
wash	ધોવું
sleep	ઊંઘવું
lift	ઊંચકવું
lift	ઉપાડવું
shed	ખરવું
become	બનવું
use	વાપરવું
ask	પૂછવું
international	આંતરરાષ્ટ્રીય
irritated	અકળાવું
stop	અટકાવું
separatist	અલગતાવાદી
we	આપણે
I	અમે
you	તું
you	તમે
I	મેં
you	તેં
me	મને
us	આપણને
us	અમને
you	તને
you	તમને
my	મારું
our	આપણું
our	અમારું
your	તારું
your	તમારું
get married	પરણવું
laugh	હસવું
tire	થાકવું
marry	પરણાવવું
repent	પસ્તાવું
sing	ગાવું
toy	રમકડું
month	મહિનો
stain	ડાઘો
get	અપાડવું
sleep	ઊંઘાડવું
comb	ઓળવું
earn	કમાવું
motherless	નમાયું
fatherless	નબાપું
સારા	સારા કામમાં સો વિઘ્નો
work	કામ
hundred	સો
uninterested	મન ઊઠવું
competitor	હરીફ
envelope	પરબીડિયું
crazy	બૈરીઘેલું
attached	માવડિયું
homebody	ઘરકૂકડિયું
effeminate	બાઇલું
strange	વિચિત્ર
same	અલગ
weighty	વજનદાર
red	લાલ
peaceful	શાંત
bland	મોળું
hungry	ભૂખ્યું
bland	ફીકું
wide	પહોળું
utensil	વાસણ
cook	રાંધવું
behave	વર્તવું
breathing	દમ
old	મોટેરું
worldwide	દુનિયાભર
developed	વિકસિત
respiratory system	શ્વસનતંત્ર
trachea	શ્વાસનળી
bronchus	શ્વાસનલિકા
blood vessel	રક્તવાહિની
capillary	કેશવાહિની
bag	કોથળી
lung	ફેફસું
blood	લોહી
fluid	પ્રવાહી
red blood cell	રક્તકણ
white blood cell	શ્વેતકણ
body	શરીર
transparent	પારદર્શક
two	બે
three	ત્રણ
four	ચાર
five	પાંચ
seven	સાત
eight	આઠ
ten	દસ
eleven	અગિયાર
twelve	બાર
thirteen	તેર
fourteen	ચૌદ
fifteen	પંદર
sixteen	સોળ
seventeen	સત્તર
eighteen	અઢાર
nineteen	ઓગણીસ
twenty	વીસ
thirty	ત્રીસ
forty	ચાલીસ
fifty	પચાસ
seventy	સિત્તેર
eighty	એંસી
twenty-one	એકવીસ
twenty-two	બાવીસ
twenty-three	ત્રેવીસ
twenty-four	ચોવીસ
twenty-five	પચ્ચીસ
twenty-six	છવ્વીસ
zero	શૂન્ય
third	ત્રીજું
fourth	ચોથું
fifth	પાંચમું
francium	ક્ષુદ્રાતુ
sixth	છઠ્ઠું
seventh	સાતમું
eighth	આઠમું
ninth	નવમું
tenth	દસમું
eleventh	અગિયારમું
twelfth	બારમું
thirteenth	તેરમું
day	દહાડો
ear	કાન
sodium	ક્ષારાતુ
radon	તૈજસાતિ
fluorine	તરસ્વિની
carbon	પ્રાંગાર
vowel	અ
girl	સહિયર
heart	હૈયું
vowel	ઇ
consonant	ખ
consonant	ગ
consonant	ઘ
consonant	ઙ
consonant	ચ
consonant	ઝ
consonant	ઞ
consonant	ટ
consonant	ઠ
consonant	ડ
hand	હાથ
quiver	ભાથો
running around	દોડાદોડી
here and there	અહીંતહીં
way	આમતેમ
running around	દોડધામ
time and again	વારંવાર
running around	ભાગંભાગ
really	ખરેખર
thin	પાતળું
leech	જળો
enter	પેસવું
bed	પલંગ
pillow	તકિયો
thick	જાડું
pillow	ઓશીકું
head	માથું
rectangle	લંબચોરસ
elephant	હાથી
rabbit	સસલું
small	જીવડું
mosquito	મચ્છર
frog	દેડકું
tortoise	કાચબો
crow	કાગડો
fever	તાવ
peacock	મોર
parrot	પોપટ
owl	ઘુવડ
rooster	કૂકડો
pigeon	કબૂતર
sparrow	ચકલી
volcano	જ્વાલામુખી
one after the other	ઉપરાઉપરી
horse	ઘોડું
flood	ઘોડાપૂર
black	સામળું
earthquake	ધરતીકંપ
foam	ફીણ
tiredness	થાક
eye	આંખ
cloud	વાદળ
sand	રેતી
wind	પવન
brass	પિત્તળ
copper	તાંબું
buffalo	ભેંસ
hollow	પોલું
eat	જમવું
heat	ગરમી
blow	ફૂંક મારવી
spin	ફરવું
fan	પંખો
post-it note	ચોંટતી ચિઠ્ઠી
cotton	રૂ
island	ટાપુ
country	દેશ
desert	રણ
war	યુદ્ધ
fight	લડાઈ
war	જંગ
plant	વનસ્પતિ
sandy	રેતાળ
approximately	લગભગ
field	મેદાન
heat	તાપ
pleasure	આનંદ
salty	ખારું
duty	ફરજ
flat	સપાટ
tree	ઝાડ
land	ભૂમિ
square	ચોરસ
consequence	પરિણામ
Patiala	પતિયાળા
Meerut	મેરઠ
Firozpur	ફિરોઝપુર
Junagadh	જૂનાગઢ
year	વર્ષ
year	વરસ
researcher	સંશોધક
extremely	અત્યંત
extremely	અતિશય
needful	જરૂરી
battlefield	યુદ્ધક્ષેત્ર
word	શબ્દ
vowel	સ્વર
grammar	વ્યાકરણ
nature	સ્વભાવ
form	રૂપ
appropriate	યોગ્ય
sentence	વાક્ય
behavior	વ્યવહાર
kind	પ્રકાર
ocean	સમુદ્ર
vomit	ઊલટી
immediately	તરત
week	અઠવાડિયું
common sense	સામાન્ય જ્ઞાન
chest	છાતી
hairdresser	વાળંદ
gunman	બંદૂકધારી
weapon	હથિયાર
gun	બંદૂક
wait	રાહ જોવી
wait	વાટ જોવી
search	શોધવું
fountain	ફુવારો
mountain	પહાડ
stone	પથ્થર
chair	ખુરશી
committee	સમિતિ
usage	વપરાશ
handy	હાથવગું
mirror	અરીસો
stoner	ગંજેરી
addict	બંધાણી
opium	અફીણી
opium	અફીણ
opium	અફીણિયો
drug	નશો
quicklime	કળીચૂનો
cobbler	મોચી
footwear	પગરખું
business	ધંધો
niobium	કાશાતુ
germanium	સિકાતુ
molybdenum	સંવર્ણાતુ
strontium	શોણાતુ
chromium	વર્ણાતુ
lithium	લઘ્વાતુ
vanadium	રોચાતુ
titanium	રંજાતુ
magnesium	ભ્રાજાતુ
fenugreek	મેથી
wheat	ઘઉં
cumin	જીરું
corn	મકાઈ
onion	ડુંગળી
onion	કાંદો
return	પાછું આવવું
fennel	વરિયાળી
sorghum	જુવાર
pearl millet	બાજરો
foxtail millet	કંગ
cinnamon	તજ
turmeric	હળદર
salt	મીઠું
chili	મરચું
yogurt	દહીં
sugar	ખાંડ
lemon	લીંબુ
ginger	આદુ
ginger	અદરક
coriander	કોથમીર
black pepper	મરી
kokum	કોકમ
summer	ઉનાળો
oil	તેલ
dry	સૂંઠ
asafoetida	હિંગ
clove	લવિંગ
spinach	પાલક
almond	બદામ
raisin	કિસમિસ
grape	દ્રાક્ષ
saffron	કેસર
kala namak	સંચળ
okra	ભીંડો
cardamom	એલચી
pomegranate	દાડમ
banana	કેળું
goldsmith	સોની
goldsmith	સોનાર
blacksmith	લુહાર
unemployment	બેરોજગારી
seek	ગોતવું
unemployment benefit	બેરોજગારી ભથ્થું
decide	નક્કી કરવું
financial	નાણાકીય
glass	કાચ
habit	ટેવ
habit	કુટેવ
hammer	હથોડી
bone	હાડકું
trunk	સૂંઢ
chess	શેતરંજ
lighthouse	દીવાદાંડી
tower	મિનારો
bag	થેલી
friend	સાથી
accommodation	સગવડ
leisure	ફુરસદ
useless	નકામું
without	વગરપૈસે
husband	ભરતાર
hurry	ઉતાવળ
impression	છાપ
print	છાપવું
swing	હિંડોળો
swings	હીંચકો
swing	ઝૂલો
top	મથાળું
Indian	પાઘડી
chin	દાઢી
every day	દરરોજ
shave	દાઢી કરવી
hair	વાળ
monsoon	ચોમાસું
lightning	વીજળી
battery	વીજકોષ
door	દરવાજો
door	બારણું
brick	ઈંટ
soil	માટી
dust	ધૂળ
telephone	ફોન
verb	ક્રિયાપદ
disease	રોગ
virus	વિષાણુ
rabies	હડકવા
anger	ગુસ્સો
diarrhea	અતિસાર
diarrhea	ઝાડો
insomnia	અનિદ્રા
stay	ઉજાગરો
worry	ચિંતા
common cold	શરદી
smallpox	શીતળા
smallpox	બળિયા
unilateral migraine	આધાશીશી
whooping cough	ઉટાંટિયું
cough	ઉધરસ
throat	ગળું
collusion	મીલીભગત
fraudulent	કપટભરી
collusion	મિલીભગત
diamond	હીરો
turquoise	પીરોજ
pearl	મોતી
article	લેખ
chicken pox	અછબડા
boa constrictor	અજગર
municipality	નગરપાલિકા
umbrella	છત્રી
bamboo	વાંસ
sugarcane	શેરડી
mulberry	શેતૂર
pea	વટાણો
urad	અડદ
soapbox	સાબુદાની
comb	કાંસકો
comb	દાંતિયો
tumbler	ટમલર
kettle	કીટલી
saucer	રકાબી
kite	પતંગ
scissors	કાતર
spoon	ચમચી
mosquito net	મચ્છરદાની
vase	ફૂલદાની
dew	ઝાકળ
pubic hair	ઝાંટ
vegetation	ઝાડપાલો
broom	ઝાડુ
Galliformes	કુર્કુટાકાર
Columbidae	કપોતકુળ
economics	અર્થશાસ્ત્ર
microeconomics	સૂક્ષ્મ અર્થશાસ્ત્ર
request	માંગણી
branch	શાખા
company	પેઢી
personal	વ્યક્તિગત
modern	આધુનિક
family	પરિવાર
socialism	સમાજવાદ
capitalism	મૂડીવાદ
vacuum cleaner	ખેંચણિયું
centrifugal	કેન્દ્રત્યાગી
childhood	બાળરોગ
watchmaker	ઘડિયાળી
watercolour	જલરંગ
oil paint	તૈલરંગ
paralysis	લખવો
glaze	લખોટવું
lame	લંગડું
lame	લૂલું
lame	પંગુ
deficient	ઊણપવાળું
lame	પાંગળું
wedding	લગ્ન
anchor	લંગર
acute angle	લઘુકોણ
ear	લણવું
long-eared	લંબકર્ણ
length	લંબાઈ
breadth	પહોળાઈ
temple	લમણું
writer	લહિયો
brilliant	લાલચોળ
flame	લાય
nit	લીખ
unspoken	વણકહ્યું
requested	વણમાંગ્યું
wick	દિવેટ
seem	ભાસવું
parrotlike	પોપટિયું
cat	મની
girl	છોડી
thus	આમ
how	ચ્યમ
profession	વ્યવસાય
firing	ગોળીબાર
physics	ભૌતિકશાસ્ત્ર
geophysics	ભૂભૌતિકી
biophysics	જીવભૌતિકી
atom	પરમાણુ
might	બળ
atomism	પરમાણુવાદ
food	મમમમ
comet	ધૂમકેતુ
comet	પૂંછડિયો તારો
tailed	પૂંછડિયું
orbit	ભ્રમણકક્ષા
solar system	સૂર્યમંડળ
Oort Cloud	ઊર્ટ વાદળ
X-ray	ક્ષ-કિરણ
parabolic	પરવલયાકાર
hyperbolic	અતિવલયાકાર
parabola	પરવલય
hyperbola	અતિવલય
rectangular	લંબાતિવલય
ellipse	ઉપવલય
major axis	પ્રધાન અક્ષ
troposphere	અધોમંડળ
stratosphere	ઊર્ધ્વમંડળ
mesosphere	મધ્યમંડળ
thermosphere	ઉષ્ણમંડળ
exosphere	બાહ્યમંડળ
lunar eclipse	ચંદ્રગ્રહણ
solar eclipse	સૂર્યગ્રહણ
famine	ઓગણોતરો
famine	સુડતાલો
famine	તિલોતરો
famine	પંચોતેરો
drought	દુકાળ
famine	જગડુશાનો દુકાળ
famine	લીલો સત્યાશિયો
disaster	હોનારત
stones	પથ્થરમારો
shelling	તોપમારો
sticks	લાઠીમારો
shelling	બોંબમારો
arrows	તીરમારો
wedge	ફાચર
tear	ફાડવું
find	ફાવવું
man	ફૂલણજી
pedlar	ફેરિયો
void	ફોક
husk	ફોતરું
stinginess	કંજૂસાઈ
stingy	કંજૂસ
jasmine	મોગરો
pregnant	બે જીવવાળી
stuck	અટવાય જવું
escape	નાઠાબારી
escape	છટકબારી
papermaking	કાગળકામ
urinate	મૂતરવું
grass	ઘાસ
mainly	મુખ્યત્વે
purple	જાંબુડિયું
palm	તાડછું
manuscript	તાડપત્ર
misuse	દુરુપયોગ
dilemma	દ્વિધા
taxpayer	કરદાતા
individual	વ્યક્તિ
responsibility	જવાબદારી
income tax	આવકવેરો
tax evasion	કરચોરી
value	કિંમત
charged	વીજભારિત
experience	અનુભવ
vision	દૃષ્ટિ
popular	લોકપ્રિય
reason	કારણ
life	જીવન
medicine	ઓસડ
medicine	દવા
document	દસ્તાવેજ
documentation	દસ્તાવેજીકરણ
situation	પરિસ્થિતિ
thought	વિચાર
society	સમાજ
presence	હાજરી
handkerchief	હાથરૂમાલ
utility pole	વીજથાંભલો
truck	ખટારો
trash	કચરો
furniture	રાચરચીલું
police station	પોલીસ મથક
safety	સુરક્ષા
center	કેંદ્ર
completeness	સંપૂર્ણતા
goal	ધ્યેય
complete	કચ્ચરઘાણ
popularity	લોકપ્રિયતા
crane	ઊંટડો
laboratory	પ્રયોગશાળા
acetic acid	શુક્તામ્લ
uric acid	મૂત્રામ્લ
oleic acid	મ્રક્ષિકામ્લ
barrow	હાથગાડી
train	આગગાડી
mail train	ટપાલગાડી
bicycle	પાયગાડી
airport	વિમાન મથક
fortunately	સદનસીબે
fortunately	સદ્ભાગ્યે
accident	દુર્ઘટના
ambulance	માંદાગાડી
sledge	બરફગાડી
breast	થાન
checkpoint	નાકું
needle	સોય
preparation	તૈયારી
decade	દાયકો
decade	દસકો
screen	ચક
glittering	ચકચકિત
drunk	ચકચૂર
shine	ચકચકવું
swing	ચકડોળ
flint	ચકમક
compound interest	ચક્રવૃદ્ધિ વ્યાજ
knot	ગાંઠ
hundred	સૈકાજૂનું
practice	પ્રથા
circle	ચક્ર
ring	વીંટી
nail	નખ
conch	શંખ
greedy	લોભી
guinea-worm	નારુ
guinea-worm	વાળો
nose	નકટું
lunula	નખચંદ
shinbone	નળો
nostril	નસકોરું
coconut	નારિયળ
bleach	નિખારવું
nattuvangam	નટ્ટુવંગમ
sweet	નિપાળો
toddy	તાડી
introduction	પરિચય
going rate	નિરખ
school	નિશાળ
school	નિશાળિયું
student	નિશાળિયો
student	નિશાળી
echo	પડઘો
echo	પડસાદ
shadow	પડછાયો
challenge	પડકાર
uvula	પડજીભ
bakery	પદરખાનું
bakery	ભઠિયારખાનું
pomelo	પપનસ
checkmate	પ્યાદીમહાત
pawn	પ્યાદું
checkmate	મહાત
checkmate	ઘોડમહાત
whirlwind	વંટોળિયો
cyclone	ચક્રવાત
anticyclone	પ્રતિચક્રવાત
direction	દિશા
circular	વર્તુળાકાર
speed	ગતિ
atmosphere	વાતાવરણ
wind	વાયુ
common	સામાન્ય
hemisphere	ગોળાર્ધ
north	ઉત્તર
south	દક્ષિણ
spiral	સર્પિલ
shape	આકાર
pressure	દબાણ
expansion	વિસ્તાર
polar	ધ્રુવીય
tropical	ઉષ્ણકટિબંધીય
inclusion	સમાવેશ
subtropical	ઉપઉષ્ણકટિબંધીય
middle	મધ્યમ
level	સ્તર
existence	અસ્તિત્વ
tropospheric	અધોમંડળીય
ozone	ત્રિપ્રાણવાયુ
startospheric	ઊર્ધ્વમંડળીય
acute	તીવ્ર
process	પ્રક્રિયા
latitude	અક્ષાંશ
longitude	રેખાંશ
temperature	તાપમાન
temperature	ઉષ્ણતામાન
front	વાતાગ્ર
lifecycle	જીવનચક્ર
stream	પ્રવાહ
path	માર્ગ
sect	સંપ્રદાય
day	દિવસ
density	ઘનતા
cold front	શીતાગ્ર
warm front	ઉષ્ણાગ્ર
dew point	ઝાકળ બિંદુ
gravity	ગુરુત્વાકર્ષણ
center of gravity	ગુરુત્વમધ્યબિંદુ
flying fox	વડવાગળું
nocturnal	રાત્રિચર
kerosene	ઘાસલેટ
wedding	વરઘોડો
village	વરતણિયો
steam	વરાળ
outburst	ઊભરો
escort	વળાવો
escort	વળાવિયો
wayfarer	વટેમાર્ગુ
traveller	મુસાફર
tiger	વાઘ
tigress	વાઘણ
female	હાથણ
tiger	વાઘમારુ
color	વાન
reduce	વામવું
one at a time	વારાફરતી
knuckle	વેઢો
observatory	વેધશાળા
sawdust	વહેર
saw	વહેરવું
buy	ખરીદવું
spend	ખરચવું
ink	શાહી
inkholder	શાહીદાન
vaccinate	શીતળા કાઢવા
rot	સડવું
face to face	સમક્ષ
face to face	સામસામે
lampstand	સમેદાની
small	દીવી
selling	માનવવેપાર
electromagnetic	વિદ્યુતચુંબકીય
radiation	વિકિરણ
wavelength	તરંગલંબાઈ
boycott	બહિષ્કાર
carpet	શેતરંજી
shoemaker	સલાડું
wire	સળી
catheter	મૂત્રશલાકા
morning	સવાર
adorn	શણગારવું
early	સવારું
delicious	સ્વાદિષ્ટ
selfish	સ્વાર્થી
smallpox	સહિયડ
multicellular	બહુકોષી
unicellular	એકકોષી
evolution	ઉત્ક્રાંતિ
various	વિવિધ
microorganism	સૂક્ષ્મજીવ
icecream	દૂધઠાર
taxi	ભાડૂતી ગાડી
construction	બાંધકામ
mineral	ખનિજ
mine	ખાણ
government	સરકાર
consumer	વપરાશકાર
device	ઉપકરણ
winter	શિયાળો
partnership	ભાગીદારી
information	માહિતી
advice	સલાહ
computer	સંગણક
internet	આંતરજાળ
application	અનુપ્રયોગ
website	જાળસ્થળ
link	કડી
book fair	પુસ્તકમેળો
shelf	અભરાઈ
wall	દીવાલ
home page	મુખપૃષ્ઠ
back	પીઠ
buttocks	થાપો
rooftile	નળિયું
crossbeam	મોભ
rooftile	મોભારિયું
enterovirus	આંત્રવિષાણુ
reovirus	શાનિવિષાણુ
rhinovirus	નાસાવિષાણુ
gene	જનીન
antimatter	પ્રતિદ્રવ્ય
antibody	પ્રતિપિંડ
die	પરલોક જવું
ladder	નિસરણી
four-legged	ચોપગું
roti	રોટલી
substance	પદાર્થ
questioning	પૂછપરછ
scent	સુગંધ
attar	અત્તર
diaphragm	સ્વરપડદો
electrode	વીજધ્રુવ
transformer	ફેરવણું
measles	ઓરી
arithmetic	અંકગણિત
algebra	બીજગણિત
eyebrow	ભવું
wine	દ્રાક્ષારસ
snuff	તપખીર
inch	તસુ
crucible	રેજા
gravel	જાડી રેતી
sandbox	રેતદાની
pressing	સ્તનમર્દન
vulva	સ્ત્રીચિન્હ
anusvara	માથેમીંડું
date	તારીખ
date	તિથિ
death	છમછરી
death	સંવત્સરી
death	મરણ
guest	અતિથિ
right	હક
God	હકતાલા
die	હક થવું
happen	થવું
claimant	હકદાર
unjustly	હકનાહક
sail	હંકારવું
mid-sized	મછવો
seashore	સમુદ્રકાંઠો
drive away	હકાલવું
truth	હકીકત
govern	રાજ ચાલાવવું
defecate	હગવું
defecation	હગામણ
excrement	ગૂ
riot	હંગામો
droppings	હગાર
hajj	હજ
mosque	મસ્જિદ
mosque	મસીદ
Muslim	હજામ
thousand	હજાર
paper	કાગળ
seed	તકમરિયાં
tomb	હજીરો
receipt	રસીદ
hanger	ટિંગણિયું
table of contents	અનુક્રમણિકા
table of contents	સાંકળિયું
sugar-coated	સાકરિયું
coat	સાકરવું
didactic	શિખામણિયું
rolling pin	વેલણ
saw	કરવત
pacifier	ચૂસણી
pacifier	ધાવણી
antiquated	જુનવાણી
suck	ચૂસવું
wiper	લુછણિયું
kitchen	રસોડું
rug	પાથરણું
bathroom	નાવણિયું
refridgerator	પ્રશીતક
thermostat	તાપનિયંત્રક
