net	уу
smell	јыта-
thin	јука
hope	ижениш
dog	ийт
pus	ириҥ
younger brother	агалу-ийиндӱ
war	јуу
not	эмес
lazy	јалку
glasses	кӧзӱлӱк
love	сӱӱ-
rejoice	сӱӱн-
practicable	берт
extend	уза-
badger	борсык
be sad	кӧҥӱл-
wish	кӱӱн
moth	кӱйе
spade	кӱрек
war	уруш
eternity	мӧҥкӱ
unite	бирлеш-
oak	эрмен агаш
tree	агаш
winged horse	тулбар
gunpowder	таары
pour	тӧк-
back	соҥы
beast	аҥ
hunter	аҥчы
excessive	артык
do	кыл-
listen	тыҥда-
order	буйур-
gnaw	черт-
throat	тамак
sound	табыш
pine	карагай
roll	ӧтпӧк
rib	кабырга
file	эгӱ
liver	буур
clear	айас
lame	аксак
dry	кургак
parent	ада-эне
cart	абра
anger	ачу
elm	кара-агаш
golden eagle	кара-куш
golden eagle	мӱркӱт
pieces	борсок
blizzard	бороон
palm	алакан
cheese	курут
go	јӱр-
swim	јӱс-
invisible	кӧрӱнбес
food	азык-тӱлӱк
shell	кабырчак
die	ӧл-
kill	ӧлтӱр-
lung	ӧкпӧ
dark	караҥуй
small	оок
small	оок-теек
go out	чыгар
sneeze	чӱчкӱр-
pour	куйар
sit	отурар
hang	илер
vomit	окур
dress	кийинер
knead	јура-
carry	тажыыр
shoot	адар
choose	ылгаар
go	барар
stick	јапшынар
twig	чыбык
star	чолмон
thirty	одус
sitting	отуру
threshold	бозого
mow	чабар
gusset	чабу
tub	чапчак
fugitive	качкын
slowly	акырын
bite	чагар
chekmen	чекпен
peg	чийиш
ant	чымалы
elbow	чаганак
pinch	чымчыыр
pinch	чымчым
dive	чӧҥӧр
peck	чокур
wedge	чииш
moisture	чык
ride	минер
brush	чачак
foreign	јат
line	чырай
beautiful	чырайлу
moist	чыкту
sedge	кыйгак
wake up	ойгонор
example	ӱлгӱ
nest	уйа
put	койор
