hour	ঘণ্টা
quiet	শান্ত
permission	অনুমতি
earthquake	ভূমিকম্প
closed	বন্ধ
freedom	স্বাধীনতা
Assamese	অসমীয়া
poop	হাগা
ask	খোজা
belly	পেট
blind	অন্ধ
blind faith	অন্ধবিশ্বাস
rotten	গেলা
sky	আকাশ
valley	উপত্যকা
Meghalaya	মেঘালয়
this	এই
thing	বস্তু
Krishna	কৃষ্ণ
finger	আঙুল
thought	চিন্তা
one	এটা
one	এটি
wastewater outlet	ওটা
plant	গছ-গছনি
Uzbekistan	উজবেকিস্তান
Oman	ওমান
Cambodia	কম্বোডিয়া
Kazakhstan	কাজাখস্তান
Tuvalu	টুভালু
Tajikistan	তাজিকিস্তান
Nepal	নেপাল
Philippines	ফিলিপাইন
Maldives	মালদ্বীপ
Malta	মাল্টা
Lebanon	লেবানন
glass	কাঁচ
money	টাকা
drown	ডুবা
ship	জাহাজ
lion	সিংহ
knowledge	জ্ঞান
zero	শূন্য
I	মই
appointed	পাতা
movie	চলচ্চিত্ৰ
bee	মধুকৰ
dog	কুকুৰ
more	আৰু
division	বি-
door	দুৱাৰ
sugar	চেনি
sugar	চুৰা
letter	চিঠি
bucket	বাল্টি
beard	দাড়ি
mouse	নিগনি
pomegranate	ডালিম
set	ধৰ্ম
nail	নখ
post	থাম
map	মানচিত্ৰ
tabla	তবলা
spoon	চামুচ
war	যুদ্ধ
clock	ঘড়ী
pain	বিষ
water	পানী
Assamese	ক্ষ
Assamese	ঌ
dot	়
Assamese	ৰ
Assamese	ৱ
leaf vegetable	শাক
Assam	অসম
Indo-Aryan	ভাৰতীয়-আৰ্য
eastern	পূৰ্বীয়
state	ৰাজ্যিক
Assamese	অসমীয়াভাষী
person	লোক
current	বৰ্তমান
crore	কোটি
first	প্ৰথম
rishi	ঋষি
you	আপুনি
your	আপোনাৰ
ঘৰ ক’ত	তোমাৰ
well	ভালে
নাম	মোৰ
singer	কণ্ঠশিল্পী
famous	প্ৰসিদ্ধ
toilet	শৌচালয়
money	পইচা
geographical	ভৌগোলিক
state	ৰাজ্য
independent	স্বতন্ত্ৰ
country	ৰাষ্ট্ৰ
governmental	চৰকাৰী
Monday	সোমবাৰ
Earth	পৃথিৱী
life	জীৱন
copper	তাম
slave	দাস
Suncus murinus	চিকা
you	তই
there	তাত
moon	চান
plantation	-নি
thousand	হাজাৰ
who	কাই
how	কেনে
year	বছৰ
thirteen	তেৰ
metropolis	মহানগৰ
census	লোকপিয়ল
population	জনসংখ্যা
music	সংগীত
internet	অন্তৰ্জাল
wireless	বেতাঁৰ
function	ফলন
gorge	কুৰুং
table	টেবিল
four	চাৰি
friend	দোস্ত
Ashoka	অশোক
belonging	-ঈ
toothbrush	দাঁতোন
cattle	গৰু
pig	গাহৰি
biology	জীৱবিজ্ঞান
living being	প্ৰাণী
cell	কোষ
virus	বিষাণু
horse	ঘোঁৰা
cat	মেকুৰী
bat	বাদুলি
pangolin	বন-ৰৌ
India	হিন্দুস্তান
tongue	জিভা
tastebud	স্বাদকলি
golden	সোনালী
sesame	তিল
insurance	বীমা
flower	পুষ্প
green	সেউজীয়া
shoe	জোতা
tea	চাহ
moon	জোন
sun	বেলি
ice	বৰফ
civet	জহামলা
civet	জহামাল
grass	ঘাঁহ
bed	বিছনা
insect	পোক
frog	ভেকুলী
frog	বেং
wheeled vehicle	গাড়ী
butterfly	পখিলা
girl	ছোৱালী
winter	জাৰ
rhinoceros	গঁড়
house	ঘৰ
crow	কাউৰী
little cormorant	পানী কাউৰী
great cormorant	দৈকলা
algae	শেলাই
lake	বিল
cucumber	তিয়ঁহ
mother	মা
papaya	অমিতা
human	মানুহ
owl	ফেঁচা
bamboo	বাঁহ
sweated	ঘমা
warm	গৰম
warm	তপত
dark	আন্ধাৰ
sweet	মিঠা
long	দীঘল
bridge	দলং
Islam	ইছলাম
father	দেউতা
eight	আঠ
ten	দহ
eleven	এঘাৰ
night	ৰাতি
black	ক‌’লা
belonging	-ঈয়া
blue	নীলা
light	পোহৰ
yellow	হালধীয়া
turmeric	হালধি
bird	চৰাই
cow's milk	গাখীৰ
beautiful	ধুনীয়া
plant	গছ
chest	বুকু
book	কিতাপ
usage	ব্যৱহাৰ
rabbit	শহা
wild herbivore mammal	পহু
living things	জীৱ-জন্তু
life	জীৱ
map	নক্সা
jealousy	হিংসা
burn	জ্বলন
archipelago	দ্বীপ-পুঞ্জ
peafowl	ম’ৰা
peacock	মৈৰা
peacock	ময়ূৰ
peahen	ময়ূৰী
he	সি
skin	ছাল
child	ছলি
boy	ল’ৰা
Indonesia	ইণ্ডোনেচিয়া
Indian	ভাৰতীয়
Indian	ভাৰতীয়া
red	ৰঙা
cloth	কাপোৰ
violet	বেঙুনীয়া
gray	ধোঁৱা ৰং
smoke	ধোঁৱা
egret	বগ
egret	বগলী
belonging	-উৱা
belonging	-আ
table	টেবুল
eggplant	বেঙেনা
fire	জুই
burn	পোৰা
belonging	-ঈয়
cigarette	চিগাৰেট
classifier	-খন
noun	-কেই-
measure word	-টো
kiwi fruit	কিৱি ফল
tomato	বিলাহী
banana	কল
elephant	হাতী
in	-অত
fear	ভয়
do	কৰা
take	লোৱা
মই	দিয়া
try	চেষ্টা কৰা
dance	নচা
brought	অনা
go	যোৱা
spread	পাৰা
bedsheet	বিছনা চাদৰ
sleep	শোৱা
Sunday	দেওবাৰ
factory	কাৰখানা
village	গাঁও
stone	পাথৰ
rock	শিল
bhut jolokia	ভোট-জলকীয়া
big	ডাঙৰ
grandee	ডাঙৰীয়া
a lot	বহুত
game	খেল
next	অহা
with	সৈতে
send	পঠোৱা
মই	মোক
cry	কান্দা
sit	বহা
rise	উঠা
again	আকৌ
few	অলপ
dove	কুপতি
dove	কপৌ
fisherman	মাছমৰীয়া
baby	কেঁচুৱা
infant	পানী-কেঁচুৱা
stool	টুল
chair	চকী
medicine	ঔষধ
she	তাই
sofa	চোফা
run	দৌৰা
laugh	হঁহা
cry	কন্দা
move	চৰা
walk	খোজ কঢ়া
wear	পিন্ধা
shop	দোকান
window	খিৰিকী
wind	বতাহ
weather	বতৰ
today	আজি
nowadays	আজিকালি
yesterday	কালি
yesterday	যোৱাকালি
tomorrow	অহাকালি
flesh	মাংস
work	কাম কৰা
he	তেওঁ
clean	চফা
clean	চাফা
clean	চাফা কৰা
clean	চফা কৰা
sell	বেচ
motorcycle	মটৰ চাইকেল
sell	বিক্ৰী কৰ
sold	বিকা
bicycle	চাইকেল
October	অক্টোবৰ
bank	বেংক
spread	পৰা
rain	বৰষুণ
start	আৰম্ভ
start	আৰম্ভ কৰা
from	-ৰ পৰা
genitive case	-অৰ
Pacific Ocean	প্ৰশান্ত মহাসাগৰ
ocean	মহাসাগৰ
Indian Ocean	ভাৰত মহাসাগৰ
something	কিবা এটা
something	কিবা
someone	কোনোবা
teach	শিকোৱা
swim	সাঁতোৰা
cut	কটা
not	ন-
-ly	-কৈ
drawn	অঁকা
brought	আনা
teach	পঢ়োৱা
read	পঢ়া
study	পঢ়া-শুনা কৰা
study	পঢ়া-শুনা
learn	শিকা
-ly	-কে
word	কথা
known	জনা
brick	ইটা
make	বনোৱা
be	হোৱা
French	ফৰাচী
part	ছোৱা
cockroach	পঁইতাচোৰা
emerged	ওলোৱা
affectionate address	বাছা
show	দেখোৱা
show	দেখুৱা
why	কিয়
why	কেলেই
why	কি কাৰণে
why	কিহৰ কাৰণে
why	কিয়নো
why	কিয়বা
reason	কাৰণ
here	ইয়াত
younger brother	ভাইটি
swallowed	গিলা
cook	ৰন্ধা
cook	ৰান্ধা
hungry	ভোক লগা
roti	ৰুটি
now	এতিয়া
different	বেলেগ
separate	বেলেগ-বেলেগ
মই	জিকা
curry	তৰকাৰী
curry	আঞ্জা
empty	খালী
umbrella	ছাতি
Punjab	পঞ্জাৱ
otenga	ঔটেঙা
when	কেতিয়া
where	ক’ত
English	ইংৰাজ
আপুনি	ইংৰাজী
math	অংক
uncle	আংকুল
body part	অংগ
finger	আঙুলি
ring	আঙুঠি
grape	আঙুৰ
Antarctica	এণ্টাৰ্কটিকা
end	অন্ত
space	মহাকাশ
style	আন্দাজ
latitude	অক্ষ
letter	আখৰ
Aksai chin	আক্সাই চিন
newspaper	বাতৰিকাকত
pickle	আচাৰ
reticulated python	অজগৰ
unknown	অচিনাকি
adhan	আজান
haunt	আড্ডা
molecule	অণু
custard apple	আতলচ
guest	আলহী
relative	কুটুম
right	অধিকাৰ
orphan	মাউৰা
disrespect	অপমান
crime	অপৰাধ
criminal	অপৰাধী
Africa	আফ্ৰিকা
father	আব্বা
mission	অভিযান
America	আমেৰিকা
rich	ধনী
Arabic	আৰবী
Arabic	আৰৱী
state	প্ৰদেশ
meaning	অৰ্থ
economy	অৰ্থনীতি
cupboard	আলমাৰী
alarm	এলাৰ্ম
Alaska	আলাস্কা
album	এলবাম
Albania	আলবানিয়া
Allah	আল্লা
avocado	এভাকাড’
disease	অসুখ
soul	আত্মা
attack	আক্ৰমণ
vegetable	পাচলি
doubt	সন্দেহ
when	যেতিয়া
then	তেতিয়া
mirror	দাপোণ
mirror	আইনা
size	আকাৰ
shape	আকৃতি
England	ইংলেণ্ড
inch	ইঞ্চি
engine	ইঞ্জিন
engineer	ইঞ্জিনীয়াৰ
Indra	ইন্দ্ৰ
Italy	ইটালী
Ethiopia	ইথিউপিয়া
prize	বঁটা
rainbow	ৰামধেনু
Jew	ইহুদী
tamarind	তেঁতেলী
building	অট্টালিকা
Iraq	ইৰাক
press	ইস্ত্ৰি
steel	ইস্পাত
Israel	ইজৰাইল
fuel	ইন্ধন
Ecuador	ইকুৱেডৰ
Eid	ঈদ
Iran	ইৰান
God	ঈশ্বৰ
next year	অহাবছৰ
dative	-অলৈ
train	ৰেল
train	ৰেলগাড়ী
Jesus	যীশুখ্ৰীষ্ট
Jesus	যীশু
pronunciation	উচ্চাৰণ
urad	মাটিমাহ
soil	মাটি
pea	মটৰমাহ
motor	মটৰ
user	ব্যৱহাৰকাৰী
eater	ভোক্তা
novel	উপন্যাস
dialect	দোৱান
accent	ঠাঁচ
means	উপায়
solution	সমাধান
meteor	উল্কা
expert	ওস্তাদ
Urdu	উৰ্দু
otter	উদ
lip	ওঁঠ
Uttar Pradesh	উত্তৰ প্ৰদেশ
north	উত্তৰ
wool	উণ
aluminium	এলুমিনিয়াম
Android	এণ্ড্ৰৈড
Wiktionary	ৱিকিঅভিধান
unit	একক
unity	একতা
acre	একৰ
heel	গেৰোৱা
AIDS	এইড্ছ
Adriatic Sea	এড্ৰিয়াটিক সাগৰ
sea	সাগৰ
Athens	এথেঞ্চ
ambulance	এম্বুলেঞ্চ
allergy	এলাৰ্জি
Mount Everest	এভাৰেষ্ট শৃংগ
Asia	এছিয়া
Estonia	এষ্ট’নিয়া
Esperanto	এস্পেৰাণ্ট ভাষা
heritage	ঐতিহ্য
oxide	অক্সাইড
Austria	অষ্ট্ৰিয়া
louse	ওকণি
Oceania	ওচেনিয়া
computer	কম্পিউটাৰ
company	কোম্পানী
blanket	কম্বল
taro	কচু
project	প্ৰকল্প
waist	কঁকাল
buttock	কটি
hip	তপিনা
kangaroo	কেংগেৰু
trash	জাবৰ
turtle	কাছ
glass	কাচ
scissors	কেঁচি
raw	কেঁচা
more	বেছি
shadow	ছাঁ
let's go	ব’লা
jackfruit	কঁঠাল
katara	কটাৰী
bowl	বাটি
karahi	কেৰাহী
forehead	কপাল
cotton	কপাহ
kabaddi	কাবাডী
kofta	কোপ্তা
kebab	কাবাব
weak	দুৰ্বল
lotus	পদুম
bitter melon	কেৰেলা
crorepati	কোটিপতি
cancer	কৰ্কট ৰোগ
Karnataka	কৰ্ণাটক
employee	চাকৰিয়াল
pitcher	কলহ
prosperity	কল্যান
poetry	কবিতা
suffering	কষ্ট
promise	কচম
story	কাহিনী
doomsday	কিয়ামত
graveyard	কবৰস্থান
pen	কলম
Congress	কংগ্ৰেছ
elder brother	কাকা
paper	কাগজ
cashew nut	কাজু বাদাম
wood	কাঠ
Catalonia	কাটালুনিয়া
prison	কাৰাগাৰ
season	কাল
Kathmandu	কাঠমাণ্ডু
Kyrgyzstan	কিৰ্গিজস্তান
kilometre	কিলোমিটাৰ
raisin	কিচমিচ
farmer	খেতিয়ক
mud	বোকা
youth	কিশোৰ
princess	ৰাজকুঁৱৰী
well	কুঁৱা
satellite	কৃত্ৰিম উপগ্ৰহ
farm	খেতি
farming	কৃষি
earthworm	কেঁচু
centre	কেন্দ্ৰ
penis	কেলা
Caribbean	কেৰিবিয়ান সাগৰ
California	কেলিফ’ৰ্নিয়া
camera	কেমেৰা
Konkani	কোংকণী
Kashmir	কাশ্মীৰ
coal	কয়লা
Korea	কোৰিয়া
Christmas	বৰদিন
class	ক্লাছ
field	ক্ষেত্ৰ
mule	খচ্চৰ
date	খেজুৰ
news	খবৰ
mineral	খনিজ
food	খানা
khichdi	খিচিৰি
toy	খেলনা
toy	খেলাবস্তু
farming field	খেতিপথাৰ
field	পথাৰ
urine	পেচাপ
urine	মূত
suicide	আত্মহত্যা
cough	কাহ
Ganges	গংগা
Sterna aurantia	গঙা-চিলনী
smell	গোন্ধ
hole	গাঁত
republic	গণতন্ত্ৰ
calculation	গণনা
account	হিচাপ
mathematics	গণিত
mathematician	গণিতজ্ঞ
Ganesha	গণেশ
donkey	গাধ
neck	ডিঙি
ghazal	গজল
poor	দুখীয়া
sadness	দুখ
happiness	সুখ
singer	গায়িকা
parrot	ভাটৌ
ভাটৌ	ভাটৌ চৰাই
cow	গায় গৰু
glass	গিলাচ
squirrel	কেৰ্কেটুৱা
Google	গুগল
robber	ডকাইত
Geeta	গীতা
Gujarat	গুজৰাট
quality	গুণ
secret	গুপ্ত
balloon	বেলুন
Gurmukhi	গুৰুমুখী লিপি
guru	গুৰু
importance	গুৰুত্ব
Georgia	জৰ্জিয়া
Guwahati	গুৱাহাটী
secret	গোপন
hide	লুকুৱা
fight	যুঁজ
quarrel	কাজিয়া
knot	গাঁঠি
carrot	গাজৰ
gajar ka halwa	গাজৰৰ হালুৱা
halva	হালুৱা
doll	পুতলা
pink	গুলপীয়া
wild	বনৰীয়া
grass	বন
wildlife	বনৰীয়া জীৱ-জন্তু
Kaziranga national park	কাজিৰঙা ৰাষ্ট্ৰীয় উদ্যান
libertine	বনৰা
unchaste woman	বনৰী
rohu fish	ৰৌ
rohu fish	ৰৌ মাছ
honour	গৌৰৱ
book	গ্ৰন্থ
book	পুথি
library	পুথিভঁৰাল
library	পুথিঘৰ
store	ভঁৰাল
Greek language	গ্ৰীক ভাষা
Greece	গ্ৰীচ
granite	গ্ৰেনাইট
Guatemala	গুৱাটেমালা
cowshed	গোহালি
Gwalior	গুৱালিয়ৰ
bell	টিলিঙা
gharial	ঘঁৰিয়াল
pier	ঘাট
sunshine	ৰ’দ
density	ঘনত্ব
knee	আঁঠু
nest	বাহ
announcement	ঘোষণা
notice	জাননী
inform	জনোৱা
Chandigarh	চণ্ডীগড়
January	জানুৱাৰী
February	ফেব্ৰুৱাৰী
March	মাৰ্চ
April	এপ্ৰিল
September	ছেপ্টেম্বৰ
November	নৱেম্বৰ
December	ডিচেম্বৰ
August	আগষ্ট
May	মে’
Bohag	ব’হাগ
Zeth	জেঠ
Ahar	আহাৰ
Haun	শাওন
Bhado	ভাদ
Ahin	আহিন
Kati	কাতি
Aghun	আঘোণ
Puh	পুহ
Magh	মাঘ
Fagun	ফাগুন
Sot	চ’ত
Malaysia	মালয়েচিয়া
Bahrain	বাহৰেইন
Brunei	ব্ৰুনেই
Myanmar	মানদেশ
Cyprus	চাইপ্ৰাছ
Jordan	জৰ্ডান
Kuwait	কুৱেইট
Egypt	মিচৰ
Laos	লাওছ
Mongolia	মংগোলীয়া
North Korea	উত্তৰ কোৰিয়া
Qatar	কাটাৰ
Russia	ৰুছ দেশ
Saudi Arabia	চৌদি আৰৱ
Singapore	চিংগাপুৰ
South Korea	দক্ষিণ কোৰিয়া
Sri Lanka	শ্ৰীলংকা
Syria	চিৰিয়া
Thailand	থাইলেণ্ড
East Timor	পূৱ টিমৰ
Turkey	তুৰস্ক
Turkmenistan	তুৰ্কমেনিস্তান
United Arab Emirates	সংযুক্ত আৰৱ আমিৰাত
Vietnam	ভিয়েটনাম
Yemen	য়েমেন
Europe	ইউৰোপ
North America	উত্তৰ আমেৰিকা
South America	দক্ষিণ আমেৰিকা
Albania	আল্বেনিয়া
Andorra	এণ্ডৰা
Belarus	বেলাৰুছ
Belgium	বেল্জিয়াম
Bosnia and Herzegovina	বস্নিয়া আৰু হেৰ্জেগ’ভিনা
Bulgaria	বুল্গাৰিয়া
Croatia	ক্ৰয়েছিয়া
Czech Republic	চেক গণতন্ত্ৰ
Denmark	ডেনমাৰ্ক
Finland	ফিনলেণ্ড
France	ফ্ৰান্স
Germany	জাৰ্মানী
Hungary	হাংগেৰী
Ireland	আয়াৰলেণ্ড
Latvia	লাৎভিয়া
Liechtenstein	লিখটেনষ্টাইন
Lithuania	লিছুৱানিয়া
Luxembourg	লাক্সেমবাৰ্গ
Macedonia	মেচেড’নিয়া
Moldova	মল্ড’ভা
Monaco	মনাক’
Montenegro	মন্টেনেগ্ৰ’
The Netherlands	নেদাৰলেণ্ড
Norway	নৰ্ৱে
Poland	প’লেণ্ড
Portugal	পৰ্টুগাল
Romania	ৰোমানিয়া
San Marino	চান মাৰিন’
Serbia	চাৰ্বিয়া
Slovakia	স্ল’ভাকিয়া
Slovenia	স্ল’ভেনিয়া
Spain	স্পেইন
Sweden	চুইডেন
Switzerland	চুইজাৰলেণ্ড
Ukraine	ইউক্ৰেইন
United Kingdom	যুক্তৰাজ্য
Vatican City	ভেটিকান চহৰ
city	চহৰ
urban area	চহৰাঞ্চল
townspeople	চহৰীয়া
mind	মন
flyer	উৰা
fly	মাখি
honey bee	মৌমাখি
honey	মৌ
moon	চন্দ্ৰ
Chandragupta Maurya	চন্দ্ৰগুপ্ত
pomelo	ৰবাব টেঙা
grapefruit	জৰা টেঙা
citron	বিৰা-জৰা
cyclone	ঘূৰ্ণিবতাহ
underpants	জাঙীয়া
sandalwood	চন্দন
sandal	চেণ্ডেল
shiny	চিকমিকিয়া
leather	চামৰা
fat	চৰ্বি
grassland	ঘাঁহনি
character	চৰিত্ৰ
movie	চলচিত্ৰ
cinema	চিনেমা
spectacles	চছমা
servant	চাকৰ
job	চাকৰি
aunt	খুৰী
rice	চাউল
Chihuahua	চিৱাৱা
ant	পৰুৱা
cheetah	চিতা বাঘ
kaolinite	চীনা মাটি
hawk	চিলনী
kite	চিলা
hawk	শেন চৰাই
magnet	চুম্বক
kiss	চুমা
beet	বিট
choice	বাছনি
plate	বাচন
Czechoslovakia	চেকস্ল’ভাকিয়া
Chechen	চেচেন
check	চে’ক
injury	ঘা
thief	চোৰ
surname	চৌধুৰী
drawing	ছবি
student	ছাত্ৰ
student	ছাত্ৰ-ছাত্ৰী
student	ছাত্ৰী
Tuesday	মঙলবাৰ
Wednesday	বুধবাৰ
Thursday	বৃহস্পতিবাৰ
Friday	শুকুৰবাৰ
Saturday	শনিবাৰ
Argentina	আৰ্জেন্টিনা
Paraguay	পাৰাগুৱে
Peru	পেৰু
Suriname	চুৰিনাম
Uruguay	উৰুগুৱে
Venezuela	ভেনিজুৱেলা
Trinidad and Tobago	ট্ৰিনিডাড আৰু টবাগ’
solar system	সৌৰজগত
turkey	পেৰু চৰাই
how much	কিমান
hair	চুলি
money	টকা
body hair	নোম
lemon	নেমু
beverage	চৰ্বত
curd	দৈ
sweet	মিঠাই
molasses	মিঠৈ
common	পাতি
kimono	কিম’ন’
get	পোৱা
scream	চিঞৰা
year	চন
gain	লাভ কৰা
caught	ধৰা
shrimp	নিচলা মাছ
shrimp	মিছা মাছ
little	সৰু
love	ভাল পোৱা
Andaman Islands	আন্দামান দ্বীপপুঞ্জ
avatar	অৱতাৰ
God	ভুৱনেশ্বৰ
bottle	বটল
Brahmin	বামুণ
rat	এন্দুৰ
radio	ৰেডিঅ
snow leopard	বৰফৰ বাঘ
write	লিখা
Marathi	মাৰাঠী ভাষা
mistake	ভুল
bubble	বুৰবুৰণি
cricket	উঁইচিৰিঙা
cricket	ক্ৰিকেট
sun bear	গছ ভালুক
takin	টাকিন
hat	টুপী
garden	বাৰী
our	আমাৰ
fruits	ফল-মূল
type	ধৰণ
true myna	শালিকা
honey	মইনা
fern	ঢেকীয়া
tiger	ঢেঁকীয়াপতীয়া বাঘ
platinum	প্লেটিনাম
restaurant	ৰেস্তোৰাঁ
dhaba	ধাবা
hood	ফণী
comb	কাকৈ
comb	ফণীওৱা
comb	কঁকিওৱা
scratched	আঁচোৰা
ring	বজা
ring	বাজা
later	পিছত
northern tree shrew	ডাল শলিয়া
back	পিছ
front	আগ
his	ইয়াৰ
pointed	জোঙা
sharpener	জোঙালী
pointed	জোঙোৱা
sharp	চোকা
clever	বুধিয়ক
intelligence	বুদ্ধি
clever	চালাক
sharp	ধাৰ
sharpen	ধাৰ কৰা
dhol	ঢোল
sharpen	চোকা কৰা
sharp	তীখৰ
bead tree	ঘোঁৰা নিম
neem	নিম
Rama	ৰাম
bow	ধনু
seaweed	সাগৰীয়া শেলাই
moss	মছ
ostrich	উট চৰাই
ostrich	উটপক্ষী
peel	বাকলি
knife	ছুৰী
story	সাধু
egg	কণী
completed	শেষ
finish	শেষ কৰা
pulled	টনা
barrow	ঠেলা
barrow	ঠেলাগাড়ী
verb	ক্ৰিয়া
grammar	ব্যাকৰণ
turn off	বন্ধ কৰা
talk	কথা পতা
talk	কথা পাতা
speak	কথা কোৱা
pour	ঢলা
kheer	পায়স
wish	মন যোৱা
press	টিপা
tie	বন্ধা
tie	বান্ধা
understand	বুজা
sound	বজোৱা
rickshaw	ৰিক্সা
light meal	জলপান
theory	তত্ব
and	তথা
even then	তথাপি
heat	তাপ
they	সিহঁত
they	তেওঁলোক
he	তেখেত
wide	বহল
narrow	ঠেক
fever	জ্বৰ
all	সকলো
whole	আটাই
man	মতা মানুহ
woman	মাইকী মানুহ
man	পুৰুষ
woman	মহিলা
bite	কামোৰা
hear	শুনা
think	ভবা
smell	শুঙা
beat	মাৰা
fear	ভয় খোৱা
food	খোৱাবস্তু
wash	ধোৱা
dug	খন্দা
dug	খান্দা
hunt	চিকাৰ কৰা
hunt	চিকাৰ
vomit	বমি কৰা
vomit	বমি
sew	চিলোৱা
spit	থু পেলোৱা
spit	থু
discard	পেলোৱা
star	তৰা
spicy	জলা
firewood	খৰি
paining	বিষোৱা
poison	বিহ
back	পিঠি
count	গণা
count	হিচাপ কৰা
old	পুৰণা
marriage	বিয়া
marry	বিয়া কৰা
habit	অভ্যাস
tradition	পৰম্পৰা
twelve	বাৰ
fourteen	চৈধ্য
fifteen	পোন্ধৰ
sixteen	ষোল্ল
garlic	নহৰু
giraffe	জিৰাফ
arrow	কাঁড়
monkey	বান্দৰ
translation	ভাঙনি
translate	ভাঙনি কৰা
translate	অনুবাদ কৰা
translate	তৰ্জমা কৰা
translation	তৰ্জমা
translator	ভাঙনি কৰোঁতা
translator	তৰ্জমা কৰোঁতা
doer	কৰোঁতা
kingfisher	মাছৰোকা
place	ঠাই
okapi	অকাপী
polar bear	বগা ভালুক
tool	সঁজুলি
climate	জলবায়ু
mosquito	মহ
river	নৈ
meat	মঙহ
meat	গোছ
coelacanth	চিলাকেন্থ
mongoose	নেউল
tail	নেজ
tail	নেগুৰ
hay	খেৰ
hunger	ভোক
gecko	কেঁকো
gecko	কেকোসাপ
gecko	কেঁকোসাপ
কেঁকো	কেকো
crab	কেঁকোৰা
pond	পুখুৰী
life	জীউ
জনা	জান
curve	চকৰ
goose	ৰাজহাঁহ
vulture	শগুন
sap	কহ
ficus	ডিমৰু
length	দীঘ
porcupine	কেঁটেলা পহু
horn	শিং
penguin	পেঙ্গুইন
essay	ৰচনা
horn	পেঁপা
piranha	পিৰানা
buffalo	ম’হ
bison	বাইচন
capybara	কেপিৱাৰা
saiga	চাইগা
goat	ছাগলী
gourd	লাউ
gourd	লাও
pumpkin	ৰঙালাও
head	মূৰ
wasp	বৰল
yolk	কুহুম
cabbage	বন্ধাকবি
guava	মধুৰি
guava	মধুৰি আম
dragonfly	জিঞাঁ
dragonfly	ঝিঞা
black pepper	জালুক
larva	পলু
hairy	বিছা
worm	পেলু
female	মাইকী
human leg	ভৰি
non-human leg	ঠেং
ear	কাণ
hornet	কোদো
কোদো	কোদো বৰল
Ceylon olive	জলফাই
moa	মোৱা চৰাই
flood	বানপানী
flood	বান
hyacinth	মেটেকা
dung beetle	গুবৰুৱা
dung	গোবৰ
needle	বেজী
iron	লো
salt	লোণ
salt	নিমখ
chimpanzee	চিম্পাঞ্জী
watermelon	তৰমুজ
leech	জোক
