May	may
vodka	عرق
corps	korpus
music	çalğı
cauldron	qazan
blizzard	boran
bleed	qanamaq
bloody	qanlı
steepness	sarplıq
fist	yumruq
donkey	خر
electricity	elektrik
epopee	epopeya
ethics	etika
lazy	osal
film	فیلم
row	sıra
lieutenant	leytenant
religion	دین
July	iyul
November	noyabr
you	سن
shameless	arsız
student	طلبه
forest	orman
February	fevral
money	pul
square	meydan
mage	maq
بوسه	بوسه
oil	yağ
maternity	analıq
match	matç
adverb	ظرف
minister	nazir
ministry	nazirlik
measure	ölçü
monthly	aylıq
bellows	körük
sack	çuval
possible	mümkün
earthquake	زلزله
freezing	ayaz
morphology	morfologiya
fly	çibin
skirt	tuman
wall	divar
tomorrow	danna
feudalism	feodalizm
flute	fleyta
now	indi
thought	fikir
piece	parça
Frenchman	fransız
arm	qol
work	iş
fish	balıq
fisher	balıqçı
cactus	kaktus
servant	qul
plenty	kalan
perishable	fani
self	öz
reactive	reaktiv
shah	şah
export	eksport
Lithuania	Litva
comfortable	rahat
sexual	cinsi
slovenly	pinti
fifth	beşinci
sixth	altıncı
province	ostan
missing person	itkin
prickle	tikan
nose	burun
make	qayırmaq
return	qaytarmaq
plant	bitki
laugh	gülüş
elderly	yaşlı
eyelash	kirpik
shawl	şal
sack	talamaq
rain	yağmur
sex	cins
human	insan
wound	yara
wound	yaralamaq
behaviour	davranış
information	bilgi
asphalt concrete	asfalt
chess	şahmat
betrothal	adax
break	qırmaq
bayonet	süngü
thing	şey
foam	köpük
dead	ölü
back	geri
grape	üzüm
bat	yarasa
chemistry	kimya
steppe	çöl
Denmark	Danimarka
user	istifadəçi
white	ağ
war	savaş
Asia Minor	Anadolu
owl	bayquş
person	kişi
January	yanvar
December	dekabr
June	iyun
system	sistem
loss	itki
lexeme	leksem
face	yön
inhabitant	sakin
watercolour	akvarel
ensemble	ansambl
gymnastics	gimnastika
acrobatics	akrobatika
president	prezident
Совет	Совет Сосиалист Республикалары Иттифагы
holiday	bayram
tomato	pomidor
Antarctica	Antarktida
plural	-ik
plague	taun
autumn	güz
second	ikinci
Iran	İran
countable	gümüş
life	ömür
time	çağ
Sweden	İsveç
weapon	silah
sister	bacı
firewood	odun
iron	ütü
goat	keçi
trace	iz
frying pan	tava
understanding	فهم
later	sonra
comparative	daha
دوشمن	دشمن
first	birinci
false	yanlış
cinnamon	دارچین
true	doğru
heavy	gur
hunt	ov
Russia	Русия
shepherd	чобан
ass	göt
they	onlar
tobacco	tütün
nightingale	bülbül
cockroach	tarakan
honor	namus
chair	stul
anger	hirs
کاغیز	کاغذ
tactics	taktika
perfection	kamal
box	qutu
hymn	himn
as if	sanki
contrabass	kontrabas
hoary	qart
north	şimal
hedgehog	kirpi
heavy	ağır
liver	bağır
be	olmaq
stick	yapışmaq
beg	yalvarmaq
sibling	qardaş
speak ill of	yamanlamaq
stick	yapmaq
rain	yağmaq
co-parent-in-law	quda
melon	yemiş
cry	ağlamaq
good-for-nothing	yaramaz
wear out	yırtmaq
cut	çapmaq
a bit	biraz
step-	ögey
stove	ocaq
duct	boru
chop	doğramaq
lord	ağa
elite	elita
god	tanrı
choice	seçim
heel	daban
geography	coğrafiya
Aristotle	Aristotel
hot	isti
execution	edam
riddle	tapmaca
guest	qonaq
put	salmaq
break	sınmaq
break	sındırmaq
undress	soymaq
scratch	qaşımaq
be born	doğmaq
generate	doğurmaq
factory	fabrik
door	qapı
mute	lal
slow	yavaş
crocodile	timsah
judge	hakim
Wikipedia	Vikipediya
spoon	гашыг
owl	бајгуш
user	истифадәчи
dog	ит
writing	yazı
winter	qış
yoghurt	јоғурт
name	исим
Azerbaijan	Азәрбајҹан
Yerevan	Ирәван
Serbian	serbcə
etymological	etimoloji
acrobatics	акробатика
south	güney
fox	tülkü
use	fayda
old	martı
coat of arms	gerb
announcement	anons
theatre	teatr
heritage	мирас
sand	قۇم
cinnamon	darçın
cinnamon	дарчын
океан	океанлар
clay	gil
moonlight	mahtab
contemporary	çağdaş
drink	içki
good	yey
rotten	çürük
caterpillar	tırtıl
label	nişan
delivery	doğum
contest	yarış
cheap	ucuz
sugar	şəkər
fact	fakt
ugly	çirkin
unbelievable	inanılmaz
angry	sinirli
long	uzun
indigent	imkansız
thin	nazik
dirty	kirli
useful	yararlı
useful	faydalı
good	şanslı
fat	şişman
countable	قان
plural	-siniz
voice	ün
Avropa	Avropa İttifaqı
scream	bağırtı
elder	böyük qardaş
ring	halqa
value	baha
usual	adi
letter	bitik
pain	ağrı
bag	torba
password	parol
Abkhazia	Abxaziya
back	dala
head	баш
clarinet	klarnet
sun	günəş
meat	ات
horse	آت
rhombus	romb
two	ایکی
six	آلتی
milk	سود
write	yazmaq
expert	ekspert
verb	feil
oat	yulaf
Constantinople	Konstantinopol
ploughed	tarla
overcoat	palto
امام	имам
miracle	معجزه
tomorrow	yarın
son	oğul
brain	beyin
whale	balina
amphitheatre	amfiteatr
rasp	törpü
fuck	sikmək
ice cream	dondurma
article	artikl
wide	geniş
key	açar
island	آدا
pronoun	əvəzlik
possession	mülk
province	elxan
and	və
achieve	bacarmaq
airplane	təyyarə
art	incəsənət
non-	na-
constantly	daim
tool	آلت
pronoun	әвәзлик
scream	бағырты
fox	түлкү
airplane	тәјјарә
art	инҹәсәнәт
password	парол
European Union	Авропа Иттифагы
how are you	necəsən
bowstring	kiriş
snow	qar
sand	qum
signature	imza
calf	baldır
ready	hazır
word	söz
foot	آیاق
galoshe	قالوش
countable	گوموش
pear	آرمود
tree	آغاج
apricot	اریک
foot	ayaq
rose	qızılgül
flower	çiçək
vegetable garden	bostan
day	گون
road	یول
France	Fransa
tree	ağac
duck	ördək
rain	yağış
cow	inək
luck	uğur
republic	respublika
Xəzər	Xəzər dənizi
private	özünəməxsus
city	şəhər
Kazakhstan	Qazaxıstan
capital	paytaxt
Turkey	Türkiyə
dəniz	Qara dəniz
Mediterranean Sea	Aralıq dənizi
Asia	Asiya
map	xəritə
periodic table	dövri cədvəl
periodic table	periodik cədvəl
eclipse	tutulma
pear	armud
peach	şaftalı
apricot	ərik
encyclopedia	ensiklopediya
philosophy	fəlsəfə
different	müxtəlif
popular	populyar
big	böyük
important	əhəmiyyətli
civilization	sivilizasiya
library	kitabxana
page	səhifə
discussion	müzakirə
pressure	təzyiq
machine	maşın
nature	təbiət
computer	kompüter
technology	texnologiya
literature	ədəbiyyat
flag	bayraq
museum	muzey
مؤجوزه	möcüzə
star	ulduz
tower	bürc
small	kiçik
superlative	ən
result	nəticə
history	tarix
tail	quyruq
lizard	kərtənkələ
spider	hörümçək
لوغت	lüğət
Christianity	Xristianlıq
Judaism	İudaizm
Pythagoras	Pifaqor
sea	dəniz
game	oyun
-ness	-lik
dust	toz
e-mail	elektron poçt
self-management	özünüidarəetmə
Iraq	İraq
Croatia	Xorvatiya
Germany	Almaniya
consonant	samit
honest	dürüst
bag	çanta
nest	yuva
Tajikistan	Tacikistan
saw	mişar
hog	qaban
skyscraper	göydələn
Statue of Liberty	Azadlıq heykəli
straw	çöp
giraffe	zürafə
wine	şərab
black	qara
red	qırmızı
blue	göy
brown	darçını
dark	qəhvəyi
colour	rəng
green	yaşıl
countable	dəmir
steel	polad
golden	qızıl
wolf	canavar
male	köpək
cat	pişik
peninsula	yarımada
sea	dərya
ship	gəmi
forest	meşə
animal	heyvan
kitchen	مطبخ
parrot	tutuquşu
bird	quş
neck	boyun
marriage	evlilik
drop	damla
energy	enerji
evening	axşam
night	gecə
noon	günorta
middle	orta
lightning	şimşək
cloud	bulud
earthquake	zəlzələ
week	həftə
century	əsr
eagle	qartal
nude	çılpaq
refugee	qaçqın
prophet	peyğəmbər
girl	qız
baptism	vəftiz
village	kənd
veterinarian	baytar
wind	külək
grey mullet	kefal
broom	süpürgə
vulture	leşyeyən
cheese	pendir
کاغیز	kağız
tzar	çar
lie	yalan
worker	işçi
garlic	sarımsaq
rag	silgi
engaged	nişanlı
poet	şair
heart	ürək
heart	qəlb
airan	ayran
pig	donuz
pander	oğraş
comrade	yoldaş
public	ictimai
hotel	mehmanxana
hotel	otel
snake	ilan
thirty-one	otuz bir
thirty-two	otuz iki
thirty-three	otuz üç
thirty-five	otuz beş
thirty-six	otuz altı
example	misal
keyboard	klaviatura
-ness	-lük
coffin	tabut
famous	ünlü
mosque	məscid
minaret	minarə
calendar	تقویم
ash	kül
mouse	siçan
language	дил
road	yol
wish	arzu
potato	kartof
litter	zibil
urine	sidik
Bakuvian	Bakı
countable	narşərab
Gabon	Qabon
Qarabağ	Dağlıq Qarabağ
upland	dağlıq
Qarabağ	Dağlıq Qarabağ Respublikası
Dağlıq Qarabağ Respublikası	DQR
Arsax	Arsax Respublikası
Kura	Kür
twine	ip
Ermənistan	Böyük Ermənistan
today	bugün
knowledge	bilik
beautiful	qəşəng
beautiful	гәшәнҝ
where	harda
religion	дин
office	ofis
baglama	saz
tax	vergi
cross	xaç
watermelon	qarpız
nomad	köçəri
day	ҝүн
genre	janr
healthy	sağlam
astrophysics	astrofizika
sister-in-law	baldız
radish	turp
thick	yoğun
tribe	tayfa
movie	филм
rope-dancer	kəndirbaz
hemp	kəndir
Ingushetia	İnquşetiya
good	eyi
beautiful	gözəl
daytime	gündüz
married	evli
Czech Republic	Çex Respublikası
news	xəbər
Совет	Совет Иттифагы
milk	süd
carpenter	dülgər
ostrich	dəvəquşu
squirrel	dələ
woodpecker	ağacdələn
sin	günah
coffee	qəhvə
octopus	osminoq
turtle	tısbağa
ship	ҝәми
turtle	тысбаға
scorpion	əqrəb
rabbit	dovşan
grater	rəndə
dragon	əjdaha
news	хәбәр
dragon	әждаһа
scorpion	әгрәб
skyscraper	ҝөјдәлән
lizard	кәртәнкәлә
مؤجوزه	мөҹүзә
sugar	шәкәр
garbage	зибил
literature	әдәбијјат
rabbit	довшан
century	әср
run	qaçmaq
storm	fırtına
dye	rəngləmək
drink	içmək
August	avqust
Karabakh	Qarabağ
brick	kərpic
spermatozoon	spermatozoid
pride	qürur
pride	гүрур
tree	ағаҹ
accordion	akkordeon
aubergine	бадымҹан
eggplant	badımcan
Artsakh	Arsax
quickness	tezlik
serious	ciddi
-ive	-ici
wipe	silmək
axe	балта
countable	araq
Persian	fars
star	улдуз
five	беш
bitter	acı
cup	кубок
central	mərkəzi
fulfillment	ifa
cradle	beşik
donkey	eşşək
shop window	vitrin
olive tree	zeytun
city	шәһәр
Armenian	erməni
Armenian	ermənicə
company	şirkət
company	ширкәт
violet	bənövşəyi
word	сөз
colour	рәнҝ
dictatorship	diktatura
infatuation	sevda
mathematics	ریاضیات
toy	oyuncaq
horse	ат
emerald	zümrüd
arbitration	arbitraj
frog	qurbağa
frog	гурбаға
tadpole	çömçəquyruq
tadpole	чөмчәгујруг
fruit	meyvə
natural	təbii
situation	vəziyyət
comparison	müqayisə
chief	rəhbər
legendary	əfsanəvi
journalist	jurnalist
coincidence	təsadüf
coincidence	тәсадүф
level	səviyyə
activity	fəaliyyət
newspaper	qəzet
reason	səbəb
laugh	gülmək
sit	oturmaq
read	oxumaq
song	mahnı
contest	müsabiqə
contest	мүсабигә
song	маһны
knife	bıçaq
knife	бычаг
tool	alət
tool	аләт
stale	bayat
watermelon	гарпыз
دیققت	diqqət
strawberry	çiyələk
barometer	barometr
Sovet	Sovet Sosialist Respublikaları İttifaqı
suicide	intihar
sinir	sinir sistemi
church	kilsə
driver	sürücü
Friday	cümə
bazar	bazar ertəsi
çərşənbə	çərşənbə axşamı
Wednesday	çərşənbə
Saturday	şənbə
wretched	miskin
دوشمن	düşmən
دوشمن	дүшмән
life	ҹан
tightrope walker	кәндирбаз
hemp	кәндир
donkey	хәр
donkey	xər
nail	mıx
Algerian	Əlcəzairli
son-in-law	dadı
sun	گونش
eye	گؤز
beetroot	pazı
winter	гыш
winter	قیش
light	ишыг
light	işıq
rain	یاغیش
trousers	şalvar
cherry	gilas
mourning	yas
cupola	günbəz
pillow	yastıq
stone	daş
salt	duz
when	haçan
Christmas	milad
we	биз
you guys	сиз
geodesy	geodeziya
evening	ахшам
thermometer	termometr
it	it hürər, karvan keçər
bark	hürmək
pass	keçmək
fly	milçək
magic carpet	uçan xalça
faculty	fakültə
Mary Magdalene	Məcdəlli Məryəm
Mary Magdalene	Mariya Maqdalena
easy	asan
kitchen	mətbəx
kitchen	мәтбәх
cat	пишик
name	آد
galoshe	qaloş
galosh	галош
sugar cube	qənd
Asiya	Kiçik Asiya
sixty-seven	altmış yeddi
sixty-eight	altmış səkkiz
sixty-nine	altmış doqquz
Papua New Guinea	Papua Yeni Qvineya
Santiago	Santyaqo
balalaika	balalayka
chess	шаһмат
lantern	fanus
Byzantine Empire	Bizans İmperiyası
shadow	kölgə
shadow	көлҝә
foreign language	xarici dil
foreign language	хариҹи дил
butterfly	kəpənək
butterfly	кәпәнәк
dilettante	diletant
there	orada
victory	zəfər
victory	зәфәр
redoubt	redut
school	məktəb
school	мәктәб
closet	şkaf
closet	dolab
closet	долаб
beard	saqqal
beard	саггал
madrasah	mədrəsə
Syria	Suriya
Syrian Arab Republic	Suriya Ərəb Respublikası
factory	zavod
surgical	bandaj
library	китабхана
book	китаб
dove	göyərçin
sunflower	günəbaxan
pepper	bibər
ice-cream	дондурма
rhinoceros	kərgədan
monkey	meymun
stair	pilləkən
tuning fork	kamerton
orange	portağal
willow	söyüd
violin	skripka
colander	süzgəc
rooster	xoruz
sparrow	sərçə
jaguar	yaquar
grasshopper	çəyirtkə
cold	soyuq
low	alçaq
wealthy	варлы
rich	varlı
flame	alov
flow	ахыш
flow	axış
arrow	ох
flat	yastı
front	өн
leather	gön
share	пај
kiss	öpüş
kiss	өпүш
countable	ган
North	شیمال
north	шимал
foot	ајаг
milk	сүд
student	tələbə
student	тәләбә
face	üz
face	үз
smile	گولوش
smile	ҝүлүш
dragon	əjdəha
dragon	әждәһа
translation	tərcümə
victory	qələbə
victory	qalibiyyət
victory	гәләбә
victory	галибијјәт
soap	сабун
train	qatar
train	гатар
watt	vatt
jasmine	jasmin
cup	fincan
restaurant	restoran
local	yerli
tactical	taktiki
elbow	dirsək
elbow	дирсәк
delicious	ləzzətli
delicious	dadlı
nail	mismar
nail	мисмар
nail	میسمار
lip	dodaq
lip	додаг
chloroplast	xloroplast
chloroplast	хлоропласт
mitochondrion	mitoxondri
third	üçüncü
fourth	dördüncü
tenth	onuncu
eleventh	on birinci
twelfth	on ikinci
thirteenth	on üçüncü
fourteenth	on dördüncü
fifteenth	on beşinci
wave	dalğa
station	dayanacaq
intestine	bağırsaq
nail	dırnaq
diamond	brilyant
horn	buynuz
harvest	biçin
blackberry	böyürtkən
archive	arxiv
disease	xəstəlik
breath	nəfəs
room	otaq
help	kömək
view	mənzərə
bridge	körpü
shirt	köynək
skimmer	kəfgir
pliers	kəlbətin
carnation	qərənfil
event	olay
quartz	kvars
büsbütün	bütün
stable	sabit
footballer	futbolçu
geisha	geyşa
co-sister-in-law	elti
law	qanun
plough	kotan
pump	nasos
slice	dilim
constructive	konstruktiv
unenlightened	avam
yearly	illik
gulf	körfəz
open	açıq
continent	qitə
change	dəyişiklik
sura	surə
bag	torbalı
disgusting	iyrənc
OK	oldu
neighbour	qonşu
neighbor	гоншу
neighbour	قونشو
Greece	Yunanıstan
family	ailə
husband	bacanaq
smell	qoxu
forty	qırx
tulip	tülpan
pear	армуд
flowerpot	dibçək
gardener	bağban
gift	armağan
insect	cücü
sorrel	əvəlik
migration	köç
poor	yoxsul
poor	kasıb
loyal	vəfalı
sprout	zoğ
ore	filiz
banishment	sürgün
hard	bərk
kidney	böyrək
pupil	bəbək
direct	buyurmaq
carry	daşımaq
frogman	dalğıc
dive	dalmaq
navel	göbək
trust	güvənmək
awake	oyanmaq
take	almaq
take	götürmək
look	baxmaq
jug	bardaq
throw	atmaq
jump	atlanmaq
livestock	davar
saffron	zəfəran
treasure	xəzinə
pioneer	pioner
other	digər
shoe	ayaqqabı
lung	ağciyər
hunger	aclıq
empty	boşalmaq
meet	görüşmək
find	tapışmaq
cümə	cümə axşamı
splinter	tilişkə
three	үч
shamisen	şamisen
shamisen	шамисен
present	indiki
treasury	خزینه
man	ər
plectrum	mizrab
man	ار
clothing	paltar
trade	alver
pornographic	pornoqrafik
pornography	pornoqrafiya
gall	öd
Russia	Rusiya
turkey	hinduşka
painter	rəssam
lion	şir
minbar	minbər
mihrab	mehrab
raspberry	moş
prestige	nüfuz
sword	qılınc
hunter	ovçu
shrink	kiçilmək
grow	böyümək
heaven	cənnət
reality	həqiqət
corpse	cəsəd
siblinghood	qardaşlıq
kismet	qismət
cherry plum	alça
bozbash	bozbaş
baklava	paxlava
magazine	jurnal
dagger	xəncər
order	nizam
oven	peç
cardamom	hil
plough	sapan
sergeant	çavuş
bir	bir sualım var
croup	sağrı
lavash	lavaş
cell	hüceyrə
mill	dəyirman
psychotherapy	psixoterapiya
Mongolia	Monqolustan
Kyrgyzstan	Qırğızıstan
Uzbekistan	Özbəkistan
Turkmenistan	Türkmənistan
plectrum	مضراب
Russian	rusca
entirety	küll
homosexual	homoseksual
precipice	uçurum
letter	hərf
mountain	داغ
mirror	güzgü
match	kibrit
written	yazılı
living	canlı
blond	sarışın
newness	yenilik
Islam	İslam
queen	kraliça
crescent	hilal
circumcision	sünnət
pocket	cib
undress	soyunmaq
bir	bir şey
raw	çiy
beardless	saqqalsız
bearded	saqqallı
nudity	çılpaqlıq
flat	düz
penis	penis başı
crazy	gic
bone	sümük
droplet	damcı
smoke	tüstü
oil	neft
prostitute	fahişə
tomato	پومیدور
swallow	qaranquş
airplane	طیاره
ax	بالتا
donkey	ائششک
countable	ҝүмүш
Friday	ҹүмә
Saturday	шәнбә
goat	кечи
goat	کئچی
flowerpot	دیبچک
moon	ај
navel	گؤبک
navel	ҝөбәк
elbow	دیرسک
wave	далға
week	һәфтә
closet	دولاب
frogman	далғыҹ
cow	اینک
cow	инәк
pine marten	дәлә
ant	qarışqa
shoe	ајаггабы
user	استفاده‌چی
snake	илан
snake	ایلان
carpenter	дүлҝәр
carpenter	دولگر
rabbit	دووشان
pig	донуз
pig	دونوز
countable	qalay
lilac	yasəmən
foe	дүшман
دوشمن	دوشمن
کاغیز	кағыз
کاغیز	کاغیز
queen	کرالیچا
queen	кралича
دیققت	دیققت
دیققت	диггәт
دیققت	دقت
countable	دمیر
countable	дәмир
dog	көпәк
gulf	көрфәз
mountain	дағ
monkey	مئیمۇن
monkey	мејмун
cheese	пендир
لوغت	лүғәт
لوغت	لوغت
dictionary	سؤزلوک
dictionary	сөзлүк
word	سؤز
jug	бардаг
pitcher	بارداق
leader	рәһбәр
grater	рәндә
مؤجوزه	مؤجوزه
pupil	ببک
free	azad
childhood	uşaqlıq
erection	ereksiya
angel	mələk
spine	onurğa
dinosaur	dinozavr
cannoneer	topçu
we	بیز
khan	xan
menu	menyu
revolution	inqilab
I	mən
you	sən
many	çox
thick	qalın
different	başqa
wish	həvəs
external	zahiri
stereotype	stereotip
privilege	imtiyaz
dumbbell	hantel
turban	çalma
author	yazar
hundredth	yüzüncü
sale	satış
steep	yalçın
infirm	düşkün
during	zamanı
unemployed	işsiz
unemployment	işsizlik
mənzərə	mağara
bullshit	gop
deadly	ölümcül
post	paylaşım
outdoors	eşik
armed	silahlı
unarmed	silahsız
mature	yetkin
sight	görüş
Republic of Turkey	Türkiyə Respublikası
freckle	çil
house	evcik
whither	haraya
ornament	süs
attack	tutma
vaccine	aşı
house	beyt
diskette	disket
rifle	tüfəng
genitive	üçün
window	pəncərə
scythe	kərənti
nard	düldülü
moose	sığın
northern	şimali
camp	düşərgə
pearl	mirvari
voter	seçici
Shusha	Şuşa
tied up	bağlı
master	ustad
countable	kükürd
Aramean	arami
device	cihaz
Morris	Moris
naked	yalın
prohibited	olmaz
imagery	görüntü
respublika	yaşasın
permission	izin
Russian	рус
shoulder	çiyin
envoy	elçi
adjacent	bitişik
nerve	sinir
sheepfold	قوْم
flow	آخێش
pear	آرمۇد
flame	آلوْو
kiss	بۇسه
بوسه	бусә
بوسه	busə
meat	ət
meat	әт
noun	ایسیم
arrow	اوْخ
face	اۆز
grapes	اۆزۆم
light	ایشێق
scream	باغێرتێ
owl	بایقۇش
tower	بۆرج
source	булаг
knife	بێچاق
tulip	түлпан
fox	تۆلکۆ
Friday	جۆمه
Thailand	Tailand
continuation	davam
exercise	çalışma
sweet	şirin
beach	çimərlik
khachkar	xaçkar
preamble	preambula
harp	arfa
backgammon	nərd
find	بولماق
owner	malik
bad	yaman
avenue	prospekt
mouse	сичан
superior	üstün
tableware	qab
mythology	mifologiya
poem	şer
autumn	payız
winter	zimistan
good day	əs-səlamu əleykum
gata	kətə
roan	qır
thin	arıq
pilotsuz uçuş aparatı	PUA
Ohio	Ohayo
pen	ruçka
because	çünki
inspiration	ilham
ـدن	-dən
quote	sitat
west	qərb
war	hərb
hand	əl
lock	qıfıl
letter	məktub
bread	çörək
ear	qulaq
Hungary	Macarıstan
east	şərq
south	cənub
twenty	iyirmi
impudent	ləcər
October	oktyabr
September	sentyabr
fifty	əlli
company	شیرکت
shish kebab	kabab
eighty	səksən
war	müharibə
castle	qala
ninety	doxsan
catfish	naxa
cucumber	xiyar
naked	lüt
parachute	paraşüt
swimmer	üzgüçü
swimmer	üzücü
drone	dron
Yemen	Yəmən
Europe	Avropa
camel	dəvə
Jewish	yəhudi
scoop	xəkəndaz
German	alman
other	ayrı
mare	madyan
waterpot	parç
cane	balağ
grass	balax
see	görmək
immunity	immunitet
marriage	nikah
question	sual
countable	pivə
Faroe Islands	Farer adaları
genitive	haqqında
wolf	qurd
Alazani	Qanıx
preacher	vaiz
Namibia	Namibiya
Indonesia	İndoneziya
motorcycle	motosiklet
seventh	yeddinci
eighth	səkkizinci
ninth	doqquzuncu
helicopter	vertolyot
acrobatic	akrobatik
man	киши
saddle	yəhər
chance	şans
Səudiyyə	Səudiyyə Ərəbistanı
Philippines	Filippin
Serbia	Serbiya
Malaysia	Malayziya
Orontes	Asi
there is	yox
gill	qəlsəmə
prosaist	nasir
late	gec
Montenegro	Çernoqoriya
molecule	molekul
retaliation	qisas
Azerbaijani	ێ
Azerbaijani	ۆ
lace	tasma
məlumat	məlumat bazası
four	دؤرد
five	بئش
nickname	ayama
factor	amil
you	سیز
distress	üzüntü
Luxembourg	Lüksemburq
tree hollow	koğuş
food	qida
beggar	dilənçi
testimonial	xasiyyətnamə
bring	gətirmək
do	etmək
be	اولماق
available	mövcud
existing	мөвҹуд
work	çalışmaq
Cyrillic	Ҝ
