Monday	ორშაბათი
nest	ბუდე
example	მაგალითი
shadow	აჩრდილი
Sun	მზე
moustache	ულვაში
clay	თიხა
clay	ტალახი
only	მხოლოდ
tadpole	თავკომბალა
wine	ღვინო
tree	ხე
flower	ყვავილი
Tasmania	ტასმანია
moon	მთვარე
mosque	მეჩეთი
king	მეფე
hammock	ჰამაკი
chain	ჯაჭვი
nose	ცხვირი
hair	თმა
arm	მკლავი
lake	ტბა
river	მდინარე
cold	ცივი
row	მწკრივი
ago	წინათ
leech	წურბელა
birthmark	ხალი
question	კითხვა
smoke	ბოლი
smoke	კვამლი
milk	რძე
horse	ცხენი
horse	ჰუნე
bridge	ხიდი
rice	ბრინჯი
paper	ქაღალდი
bark	ქერქი
bird	ფრინველი
theme	თემა
egg	კვერცხი
word	სიტყვა
gum	სასა
beach	პლაჟი
lion	ლომი
camel	აქლემი
library	ბიბლიოთეკა
wheel	ბორბალი
if	თუ
saliva	ნერწყვი
walking	სვლა
mould	ობი
moss	ხავსი
prayer	ლოცვა
storm	ქარიშხალი
storm	გრიგალი
Armenian	სომხური ენა
Armenian	სომხური
Caspian Sea	კასპიის ზღვა
თეთრი რასა	თეთრი რასა
village	სოფელი
guest	სტუმარი
sword	ხმალი
machete	მაჩეტე
opinion	აზრი
lead	ტყვია
მადლობა არ ღირს	მადლობა არ ღირს
gong	გონგი
mushroom	სოკო
weed	სარეველა
cat	კატა
dream	სიზმარი
nightmare	კოშმარი
nightmare	მაჯლაჯუნა
beetle	ხოჭო
son	ძე
town	ქალაქი
big	დიდი
phaeton	ეტლი
smile	ღიმილი
dragon	დრაკონი
thing	ნივთი
object	საგანი
candle	სანთელი
pigeon	მტრედი
bucket	ვედრო
weapon	იარაღი
proverb	ანდაზა
skeleton	ჩონჩხი
date	პაემანი
hat	ქუდი
Asia	აზია
match	ასანთი
mountain	მთა
hill	გორა
translator	მთარგმნელი
God	ღმერთი
god	ღვთაება
arrow	ისარი
valley	ხეობა
frog	ბაყაყი
rust	ჟანგი
toad	გომბეშო
bone	ძვალი
Bosha	ბოშა
system	სისტემა
letter	ასო
Stalinism	სტალინიზმი
church	ეკლესია
rose	ვარდი
sleep	ძილი
angel	ანგელოზი
bear	დათვი
Aristotle	არისტოტელე
eyelid	ქუთუთო
eyelash	წამწამი
hatred	სიძულვილი
hatred	მძულვარება
sausage	ძეხვი
evening	საღამო
climate	ჰავა
freedom	თავისუფლება
Abkhazia	აფხაზეთი
სამხრეთი ოსეთი	სამხრეთი ოსეთი
nationalism	ნაციონალიზმი
Muslim	მუსლიმი
Muslim	მუსულმანი
north	ჩრდილოეთი
south	სამხრეთი
twenty	ოცი
bastard	ბიჭი
Croatia	ხორვატია
flag	დროშა
east	აღმოსავლეთი
west	დასავლეთი
important	მნიშვნელოვანი
cheese	ყველი
flag	ალამი
substantive	არსებითი სახელი
food	საჭმელი
night	ღამე
knight	რაინდი
insect	მწერი
breakfast	საუზმე
lute	ბარბითი
peanut	არაქისი
chin	ნიკაპი
whale	ვეშაპი
საშობაო მარხვა	საშობაო მარხვა
walnut	კაკალი
nut	ნიგოზი
დილა მშვიდობისა	დილა მშვიდობისა
drunk	მთვრალი
protect	დაცვა
scary	საშიში
sand	ქვიშა
ზღვის ნაპირი	ზღვის ნაპირი
book	წიგნი
string	სიმი
corn	სიმინდი
statue	ქანდაკება
torch	ელექტრო ფარანი
humane	ჰუმანური
fast	ჩქარა
so	აბა
snail	ლოკოკინა
not	არ
pimple	მუწუკი
delicious	გემრიელი
variant	ვარიანტი
secret	საიდუმლო
island	კუნძული
pyramid	პირამიდა
monkey	მაიმუნი
door	კარი
physician	ექიმი
beech	წიფელი
weight	წონა
ციხე	ციხე-დარბაზი
fortress	ციხესიმაგრე
robber	ყაჩაღი
bully	ჩხუბისთავი
lump	გუნდა
drop	წვეთი
Georgia	ჯორჯია
nude	შიშველი
naked	ტიტველი
pancreas	პანკრეასი
dog	ძაღლი
water	წყალი
hope	იმედი
meter	მეტრი
centimetre	სანტიმეტრი
kilometre	კილომეტრი
millimeter	მილიმეტრი
crow	ყვავი
Armenian	სომეხი
language	ენა
fortress	ციხე
hall	დარბაზი
new	ახალი
shop	მაღაზია
snake	გველი
back	ზურგი
botany	ბოტანიკა
nail	ფრჩხილი
nail	ლურსმანი
vinegar	ძმარი
eagle	არწივი
bishop	ეპისკოპოსი
orphan	ობოლი
orphanhood	ობლობა
even	ლუწი
wolf	მგელი
mouth	პირი
iron	რკინა
calcium	კალციუმი
copper	სპილენძი
silver	ვერცხლი
otter	წავი
sable	სიასამური
orange	ფორთოხალი
fear	შიში
thus	ანუ
ant	ჭიანჭველა
fork	ჩანგალი
wrestler	მოჭიდავე
falcon	შავარდენი
carnival	ყეენობა
cloud	ღრუბელი
springbok	ჯეირანი
Mongolian	მონღოლი
bed	საწოლი
ice cream	ნაყინი
traitor	მოღალატე
honey	თაფლი
acrobat	ჯამბაზი
scissors	მაკრატელი
shadow	ჩრდილი
Islam	ისლამი
duck	იხვი
goose	ბატი
zoo	ზოოპარკი
cigarette	პაპიროსი
crisis	კრიზისი
crocodile	ნიანგი
lizard	ხვლიკი
willow	ტირიფი
ცხენის ძალა	ცხენის ძალა
hoopoe	ოფოფი
hyena	აფთარი
jazz	ჯაზი
bran	ქატო
Europe	ევროპა
rain	წვიმა
cow	ძროხა
ink	მელანი
pillow	ბალიში
mandarin orange	მანდარინი
pear	მსხალი
peach	ატამი
wild cat	კატუნი
lime	კირი
lime	კირიანი
apricot	ჭერამი
kitchen	სამზარეულო
lynx	ფოცხვერი
boat	ნავი
ship	გემი
scar	ნაიარევი
scar	ნაჭრილობევი
England	ინგლისი
salt	მარილი
star	ვარსკვლავი
mulberry	თუთა
grain	მარცვალი
logarithm	ლოგარითმი
dictionary	ლექსიკონი
fire	ცეცხლი
blaze	ალი
rainbow	ცისარტყელა
Sukhumi	სოხუმი
capital city	ცხინვალი
fountain	შადრევანი
lilac	იასამანი
blood	სისხლი
whore	ბოზი
pleasantness	შნო
graceful	შნოიანი
platypus	იხვნისკარტა
carrot	სტაფილო
pearl	მარგალიტი
margarite	მარგარიტი
butter	კარაქი
bleat	ბღავილი
unleavened bread	ბლარჯი
home	სახლი
ashes	ავლი
cesspit	ავლინი
association football	ფეხბურთი
ball	ბურთი
mole	თხუნელა
kangaroo	კენგურუ
koala	კოალა
shark	ზვიგენი
round	ტური
holiday	ზადიკი
celebration	ზადიკობა
orgasm	ორგაზმი
winter	ზამთარი
summer	ზაფხული
spring	გაზაფხული
matsoni	მაწონი
sugar	შაქარი
chocolate	შოკოლადი
potato	კარტოფილი
სამხრეთი კავკასია	სამხრეთი კავკასია
bee	ფუტკარი
beak	ნისკარტი
hedgehog	ზღარბი
hippopotamus	ჰიპოპოტამი
rhinoceros	მარტორქა
ocean	ოკეანე
Easter	აღდგომა
supper	ვახშამი
coffee	ყავა
chair	სკამი
dukhan	დუქანი
banana	ბანანი
lightning	ელვა
sea	ზღვა
giraffe	ჟირაფი
ear	ყერი
head	თავი
neck	კისერი
shoulder	მხარი
finger	თითი
heart	გული
lung	ფილტვი
liver	ღვიძლი
black	შავი
white	თეთრი
red	წითელი
blue	ლურჯი
brown	ყავისფერი
yellow	ყვითელი
color	ფერი
green	მწვანე
mine	ლითონი
steel	ფოლადი
elephant	სპილო
goat	თხა
peninsula	ნახევარკუნძული
forest	ტყე
animal	ცხოველი
hundred	ასი
thousand	ათასი
twelve	თორმეტი
mango	მანგო
adjective	ზედსართავი სახელი
name	სახელი
morning	დილა
noon	შუადღე
midnight	შუაღამე
day	დღე
snow	თოვლი
earthquake	მიწისძვრა
religion	რელიგია
month	თვე
week	კვირა
second	წამი
minute	წუთი
hour	საათი
century	საუკუნე
homosexuality	ჰომოსექსუალობა
heterosexuality	ჰეტეროსექსუალობა
man	კაცი
daughter	ასული
girl	გოგო
adverbial case	ვით.
only	მხოლოობითი
plural	მრავლობითი
plague	ჭირი
mop	შვაბრა
soap	საპონი
wind	ქარი
throat	ყელი
skin	კანი
document	დოკუმენტი
suffix	სუფიქსი
prefix	პრეფიქსი
simple	სადა
mere	უბრალო
simple	მარტივი
donkey	ვირი
street	ფოლორცი
death	სიკვდილი
spoon	კოვზი
ბაბილონის გოდოლი	ბაბილონის გოდოლი
Babylon	ბაბილონი
pillar	გოდოლი
tower	კოშკი
pig	ღორი
hotel	სასტუმრო
dinosaurus	დინოზავრი
table	მაგიდა
chestnut	წაბლი
bus	ავტობუსი
tram	ტრამვაი
train	მატარებელი
trolley bus	ტროლეიბუსი
airplane	თვითმფრინავი
Hebrew	ებრაელი
room	ოთახი
balustrade	ბალუსტრადა
nightingale	ბულბული
minaret	მინარეთი
treasure	განძი
amoeba	ამება
Colchis	კოლხეთი
Caucasian Iberia	იბერია
Jason	იასონი
spider	ობობა
mouse	თაგვი
philosopher	ფილოსოფოსი
wife	ცოლი
pomegranate	ბროწეული
satsivi	საცივი
encyclopedia	ენციკლოპედია
warm	თბილი
republic	რესპუბლიკა
მთიანი ყარაბაღის რესპუბლიკა	მთიანი ყარაბაღის რესპუბლიკა
Kura	მტკვარი
დიდი სომხეთი	დიდი სომხეთი
small	მცირე
little	პატარა
მცირე სომხეთი	მცირე სომხეთი
Ossetia	ოსეთი
onion	ხახვი
more	მეტი
cow	ფური
tea	ჩაი
Sweden	შვედეთი
Serbia	სერბეთი
nitrogen	აზოტი
ქართული ენა	ქართული ენა
hammer	ურო
spleen	ელენთა
chickpea	სისირი
lid	ხუფი
Kosovo	კოსოვო
water-pepper	წალიკა
orchard	წალკოტი
gardener	მეწალკოტე
hero	გმირი
hip	ბარძაყი
tiger	ვეფხვი
hatter	ჭონი
Caucasus	კავკასია
Christmas tree	საშობაო ნაძვის ხე
winter	საზამთრო
very	ძალიან
kochari	ქოჩარი
Caucasus	ჩეჩნეთი
ditch	თხრილი
uncle	ბიძა
bronze	რვალი
Grigol	გრიგოლი
toll	ბაჟი
boomerang	ბუმერანგი
misfortune	ფათერაკი
violin	ვიოლინო
astrophysics	ასტროფიზიკა
talking	მოუბარი
conversation	საუბარი
talking	უბარი
precipice	ხრამი
tip	წვერი
pointed	წვერიანი
idol	კერპი
syringe	შპრიცი
zurna	ზურნა
cruel	სასტიკი
spleen	ფაწალა
goat	ქოშიკი
Sevan trout	იშხანი
gegharkuni	გელაქნური
stove	ქურა
prank	ოინი
holy war	წმინდა ომი
jihad	ჯიჰადი
ჯვაროსნული ლაშქრობა	ჯვაროსნული ლაშქრობა
cross	ჯვარი
holy	წმინდა
saint	წმინდანი
wedding ceremony	ჯვრისწერა
cross-shaped	ჯვარისებრი
married	ჯვარდაწერილი
Ninotsminda	ნინოწმინდა
Ingushetia	ინგუშეთი
hagiography	მატიანე
Hong Kong	ჰონგკონგი
rod	ჭალი
fence	ლასტი
Georgian	ჺ
taxi	ტაქსი
laser	ლაზერი
dewlap	ღაბაბი
მშობლიური ენა	მშობლიური ენა
illusion	ილუზია
event horizon	მოვლენათა ჰორიზონტი
Father Christmas	თოვლის ბაბუა
amber	გიშერი
harissa	გიშრაფეთი
puddle	გუბე
pit	გუბი
lake	გუბ
butcher	ყასაბი
buoy	ტივტივა
საპნის ქაფი	საპნის ქაფი
USSR	სსრკ
საბჭოთა კავშირი	საბჭოთა კავშირი
foam	ქაფი
tweed	ტვიდი
bay	უბე
rod	კვერთხი
boundary	მიჯნა
umbrella	შუგა
ray	შუქი
well	ჯურღმული
tamada	თამადა
brick	ალიზი
dandruff	ქერტლი
sometimes	ზოგჯერ
sometimes	ხანდახან
adverb	ზმნიზედა
Tibet	ტიბეტი
often	ხშირად
ხშირად	ხშირ-ხშირად
vodka	არაყი
moth	ჩრჩილი
turquoise	ფირუზი
როგორა ხარ	როგორა ხარ
sorry	ბოდიში
თუ შეიძლება	თუ შეიძლება
კეთილი იყოს თქვენი მობრძანება	კეთილი იყოს თქვენი მობრძანება
thank you	გმადლობთ
yes	დიახ
no	არა
ინგლისური იცით	ინგლისური იცით
Estonia	ესტონეთი
net	ბადე
radish	ბოლოკი
manuscript	ხელნაწერი
spruce	კვარი
root	ფესვი
soldier	ჯარისკაცი
signature	ხელმოწერა
democracy	დემოკრატია
den	ბუნაგი
coriander	ქინძი
pinhead	ქინძისთავი
hell	ჯოჯოხეთი
hospital	საავადმყოფო
pornography	პორნოგრაფია
kismet	ყისმათი
barn	გომი
flat roof	ერდო
unity	ერთობა
silkworm	ცახი
blade	ცახე
grey	მხიე
dandruff	თებო
why	რატომ
why	რისთვის
oil	იუღი
Christ	ქრისტე
bushes	წარავი
bushes	წარაფი
sadness	წუხვა
casket	კოლოფი
poppy	ყაყაჩო
beam	კოჭი
morsel	კოტორი
bankruptcy	კოტრი
oil	ზეთი
rule	წესი
branch	შტო
bronze	ბრინჯაო
fruit	პტული
young	ტუკი
lichen	ქარაგოზი
Nagorno-Karabakh	მთიანი ყარაბაღი
bed	ლოგინი
swallow	მერცხალი
tomorrow	ზეგ
group	დასი
time	ჟამი
dance	პარი
dance	შუშპარი
GUAM	სუამი
buffalo	ზაქი
military	ზორვარი
poor	ალქატი
surname	გვარი
gusan	მგოსანი
giant	დევი
nice	კარგი
skilful	ჭარტარი
talkative	ჭარტალი
shepherd	შპეტი
boundary sign	სამანი
end	ოხჭანი
kaj	ქაჯი
field	აგარაკი
dacha	აგარა
robber	ავაზაკი
camp	ბანაკი
knife	დანა
knife	დანაკი
hearth	კერა
bonfire	კერაკი
bonfire	კერაკანი
gustation	ჭაშნიკი
cup	ჭაშაკი
chamber	სენაკი
donkey	მუტრუკი
nobody	სტრუკი
naive	მიამიტი
nobleman	აზნი
noble	აზნაური
wild ram	არნი
sword	დაშნა
cliff	ქარაფი
pen	ქარაბაკი
mule	ჯორი
automobile	ავტომობილი
script	დამწერლობა
trainer	მწვრთნელი
writer	მწერალი
examination	გამოცდა
broadcast	გადაცემა
letter	წერილი
card	ბარათი
similarity	მსგავსება
refrigerator	მაცივარი
murderer	მკვლელი
dead	მკვდარი
heart ache	სულიერი ტკივილი
vagina	ვაგინა
ყითა ნაწლავი	ყითა ნაწლავი
coercion	ძალდატანება
woman	ქალი
love	სიყვარული
flea	რწყილი
cave	გამოქვაბული
Greek	ბერძენი
archipelago	არქიპელაგი
file	ქლიბი
statistics	სტატისტიკა
physics	ფიზიკა
Hungarian	უნგრელი
Hungarian	უნგრული ენა
agenda	დღის წესრიგი
rat	ვირთაგვა
Santa Claus	თოვლის პაპა
theft	მოტაცება
rape	გაუპატიურება
drum	დოლი
trumpet	ბუკი
change	ცვლა
სატვირთო მანქანა	სატვირთო მანქანა
integral	ინტეგრალი
nipple	დვრილი
queen	დედოფალი
bride	პატარძალი
rifle	შაშხანა
gun	ქვემეხი
tank	ტანკი
injection	ინექცია
sex	სქესი
sex	სექსი
rocket	რაკეტა
insurance	დაზღვევა
vineyard	ვენახი
thirteen	ცამეტი
fourteen	თოთხმეტი
answer	პასუხი
incense powder	ფოში
horn	რქა
Armenian priest	ტერტერა
master	ტანუტერი
midwife	ტატბერი
doll	ტიკინი
stepchild	გერი
trough	ორე
money	ფული
spider	ზარდლი
spider	დედაზარდლი
pineapple	ანანასი
bagpipes	გუდასტვირი
flight	გაფრენა
feather	ბუმბული
Earth	დედამიწა
earth	მიწა
soil	ნიადაგი
ring	ბეჭედი
melon	ნესვი
animal	მამალი
tidy	კაზმვა
pallor	გუნი
iron	უთო
freckle	ჭორფლი
spirit	სული
battle	ბრძოლა
property	საკუთრება
ozone	ოზონი
ghost	მოჩვენება
prime number	მარტივი რიცხვი
number	რიცხვი
number	ნომერი
quantity	რაოდენობა
quart	კვარტა
exercise	ვარჯიში
translation	თარგმანი
translator	თარჯიმანი
sacrifice	ზორვა
ram	ერკემალი
many	ბევრი
moral	მორალური
chrism	მირონი
blanket	საბანი
cupola	გუმბათი
juniper	ღვია
nostrils	პინჩვი
article	სტატია
annoying	აბეზარი
Commonwealth of Independent States	დამოუკიდებელ სახელმწიფოთა თანამეგობრობა
tweezers	პინცეტი
khachapuri	ხაჭაპური
easy	ადვილი
Moscow	მოსკოვი
lair	სორო
Palm Sunday	ბზობა
saliva	ლეზვი
stalk	კურწი
leather	ტყავი
shell	ნიჟარა
Portuguese	პორტუგალიური
simony	სიმონია
anvil	გრდემლი
theosophy	თეოსოფია
asexuality	ასექსუალობა
sexual orientation	სექსუალური ორიენტაცია
bisexuality	ბისექსუალობა
dwarf	ჯუჯა
grove	ეწერი
flour	ალატა
tilling	ჰოროველო
bald	პოპლიკა
beautiful	ლამაზი
apartment	ბინა
emerald	ზურმუხტი
enema	ოყნა
wikiholic	ვიკიჰოლიკი
Turkish	თურქული
ajapsandali	აჯაფსანდალი
baluster	რიკული
bubble	ბუშტი
bottle	ბოთლი
lampshade	აბაჟური
bassoon	ფაგოტი
window	ფანჯარა
leaf	ფოთოლი
bathtub	აბაზანა
obstetrician	მეანი
paragraph	აბზაცი
spiderweb	აბლაბუდა
handrail	მოაჯირი
abacus	საანგარიშო
beverage	სასმელი
tinder	აბედი
bean	ლობიო
surgeon	ქირურგი
wine cellar	მარანი
ნინო	ნინო
walrus	ლომვეშაპი
hell	ჯანდაბა
tarragon	ტარხუნა
prop	ხეჩაკალი
scrambled eggs	ათქვეფილი კვერცხები
bread	პური
pill	აბი
hamster	ზაზუნა
circle	წრე
fate	წერა
apricot	წირანი
hot pepper	წიწაკა
grandmother	ჰანი
mosquito	კოღო
raw	უმი
cemetery	მატური
lentil	ოსპი
catalyst	კატალიზატორი
measure	ჩაფი
honour	პატივი
window	პატოანი
tail	პოჩი
certificate	ქარტეზი
ionosphere	იონოსფერო
vase	ვაზა
edit	რედაქტირება
about	შესახებ
but	მაგრამ
as	როგორც
Finland	ფინეთი
Cyprus	კვიპროსი
adherent	მომხრე
place	ალაგი
now	არდი
plant	მცენარე
sulfur	წუმწუმა
mercury	სინდიყი
vodka	იყი
Ossetian	ოსი
crocus	ქურქუმა
cheese	სულუგუნი
sweet dreams	ღამე ნებისა
existence	ყოფნა
flammable	აალებადი
abazi	აბაზი
bathroom	აბანო
shoulder bag	აბგა
nonsense	აბდაუბდა
რუსული ენა	რუსული ენა
ინგლისური ენა	ინგლისური ენა
hierarchy	იერარქია
penis	ყლე
cunt	მუტელი
ass	ტრაკი
wick	ჭრაქი
lamp	ჩირაღი
unripe	კაწახი
lyre	ქნარი
plagiarist	პლაგიატორი
plagiarism	პლაგიატი
feces	განავალი
wallet	ქისა
rut	ფლატე
არ ვიცი	არ ვიცი
say	უბნობს
discussion	თათბირი
European Union	ევროპის კავშირი
Slovakia	სლოვაკეთი
Slovenia	სლოვენია
Hungary	უნგრეთი
Romania	რუმინეთი
Poland	პოლონეთი
Malta	მალტა
Latvia	ლატვია
Lithuania	ლიტვა
ბოსნია და ჰერცეგოვინა	ბოსნია და ჰერცეგოვინა
Denmark	დანია
Republic of Ireland	ირლანდიის რესპუბლიკა
Italy	იტალია
Liechtenstein	ლიხტენშტაინი
Luxembourg	ლუქსემბურგი
Macedonia	მაკედონია
Moldova	მოლდოვა
Netherlands	ნიდერლანდი
Norway	ნორვეგია
Montenegro	ჩერნოგორია
Switzerland	შვეიცარია
Czech Republic	ჩეხეთი
bakery	ფურნე
hollow	ფუტურო
rabbit	ბოცვერი
flamethrower	ცეცხლსატყორცნი
murder	მკვლელობა
capacitor	კონდესატორი
resistor	რეზისტორი
conspiracy	შეთქმულება
lever	ბერკეტი
vomit	პირღებინება
mine	მაღარო
machine gun	ტყვიამფრქვევი
Chihuahua	ჩიხუახუა
hunter	მონადირე
world	სამყარო
world	მსოფლიო
world	ქვეყნიერება
witch	გრძნეული
witch	ჯადოქარი
devil	ეშმაკი
Satan	სატანა
preparation	მზადება
ambition	პატივმოყვარეობა
incest	სისხლის აღრევა
deer	ირემი
insinuation	ცილი
insinuation	ინსინუაცია
property	თვისება
twilight	ბინდი
sniper	სნაიპერი
field	ველი
work	მუშაობა
cooper	მეკასრე
cable	კაბელი
owl	ბუ
castle	სასახლე
tear	ცრემლი
termite	თერმიტი
boar	ქოსმენი
highway	გზატკეცილი
result	შედეგი
laughter	სიცილი
broom	ცოცხი
cheek	ლოყა
buttocks	დუნდულოები
buttock	დუნდულოი
code	კოდექსი
sweet	კანფეტი
alley	შესახვევი
tube	მილი
flute	ფლეიტა
ice	ყინული
sleet	თოვლჭყაპი
hail	სეტყვა
balloon	აეროსტატი
booklet	წიგნაკი
insect	ქინქლა
stove	ღუმელი
rope	თოკი
warmth	სითბო
antenna	ანტენა
antenna	შემხე
antenna	ცეცი
priest	მღვდელი
nun	მოლოზონი
calculator	გამომთვლელი
music	მუსიკა
factory	ფაბრიკა
repetition	გამეორება
series	სერია
series	რიგი
fang	ეშვი
health	ჯანმრთელობა
standard	ნორმა
Pikachu	პიკაჩუ
anime	ანიმე
mafia	მაფია
crime	დანაშაული
teenager	თინეიჯერი
perpetrator	დამნაშავე
აბანო	აბანოს ჭია
worm	ჭია
box	ყუთი
cadaver	გვამი
cemetery	სასაფლაო
robot	რობოტი
grave	საფლავი
tombstone	საფლავის ქვა
heap	გროვა
time	დრო
spear	შუბი
pointed	მახვილი
protuberance	გამონაშვერი
garden	ბაღი
fan	მარაო
fan	ვენტილატორი
seagull	თოლია
race	რასა
law	კანონი
idea	ცნება
aggression	აგრესია
chef	შეფმზარეული
recovery	მორჩენა
pride	სიამაყე
kingdom	სამეფო
homosexual	ჰომოსექსუალი
homosexual	ჰომოსექსუალური
medicine	წამალი
video game	ვიდეო თამაში
game	თამაში
shovel	ნიჩაბი
anchor	ღუზა
anchorage	საღუზე
brake	მუხრუჭი
aubergine	ბადრიჯანი
well	ჭა
hunger	შიმშილი
column	ბოძი
stick	ჯოხი
plan	გეგმა
craftsman	ოსტატი
cherub	ქერუბიმი
skyscraper	ცათამბჯენი
sky	ზეცა
whisked	ათქვეფილი
cockroach	ტარაკანი
etc.	და ა.შ.
for the sake of	-თვის
darling	ჩემო კარგო
my	ჩემი
I speak Georgian	ქართულად ვლაპარაკობ
speak	ლაპარაკი
Georgian	ქართულად ვერ ვლაპარაკობ
no	ვერ
haw	კუნელი
kitten	კნუტი
იყო და არა იყო რა	იყო და არა იყო რა
what	რა
Sanskrit	სანსკრიტი
სანსკრიტული ენა	სანსკრიტული ენა
Sanskrit	სანსკრიტული
Spanish	ესპანური ენა
cricket	ჭრიჭინა
რევაზ	რევაზი
nickname	მეტსახელი
circumcision	წინადაცვეთა
circumcised	წინდაცვეთილი
ბოშა	ბოშა-ქალი
machine gun	პულიმიოტი
kalimavkion	ხვირი
maroon horse	რახსი
Aragvi	არაგვი
lamp	ბაზმაკი
moron	დებილი
-logy	-ლოგია
face	სიფათი
peel	გვფრცქვნი
calico	მიტკალი
stupid	ჩლუნგი
too	-ც
from	-დან
with	-თან
up to	-მდე
on	-ზე
pseudo-	კვაზი-
how	როგორ
thick wood	ტევრი
capacity	ტევადობა
when	როცა
branch	რტო
knighthood	რაინდობა
-hood	-ობა
wine	პანეში
cheers	გაუმარჯოს
win	გამარჯვება
containing	ნართანიანი
nimbus	შარავანდი
delicate	ნაზი
delicate	ფაქიზი
პროტო-ქართველური ენა	პროტო-ქართველური ენა
style	სტილი
school	შატალო
shepherd	ჩობანი
neighborhood	უბანი
pit	ხნარცვი
engine	ძრავა
blind alley	ჩიხი
ruler	მბრძანებელი
horse race	დოღი
hot	ცხელი
droplet	წინწკალი
claw	ბრჭყალი
punctuation	პუნქტუაცია
Gregorian calendar	გრიგორიანული კალენდარი
congratulations	გილოცავთ
theodicy	თეოდიცეა
cool	ძერსკი
marasmus	მარაზმი
mineral water	ბორჯომი
გილოცავთ დაბადების დღეს	გილოცავთ დაბადების დღეს
happy birthday	გილოცავ დაბადების დღეს
something	რაღაც
who	ვინ
completely	სულ
cornfield	ყანა
essence	არსი
stupid	შტერი
address	მისამართი
all	ყველა
sign	ნიშანი
passion	აზარტი
ferrous	აზარმაცი
lazy	ზარმაცი
anecdote	ანეკდოტი
Smith	მჭედლიშვილი
doctor	ექთანი
hospital nurse	მედდა
but	მარა
flat	ბრტყელი
Georgian	Ⴅ
experiment	ცდა
defect	ხინჯი
please	გთხოვთ
that	იმ
this	ეს
reckon	მიჩნევა
that	რომ
comma	მძიმე
Georgian	Ⴍ
well	კარგად
similarly	ასევე
both	აგრეთვე
winner	ნიშნის მოგებით
applicant	აბიტურიენტი
student	სტუდენტი
forum	ფორუმი
child	შვილი
seed	თესლი
urine	შარდი
constantly	ნიადაგ
zero	ნული
churchkhela	ჩურჩხელა
persimmon	ხურმა
genocide	გენოციდი
peace	მშვიდობა
possible	შეიძლება
old	ძველი
anus	პროჭი
ძილი ნების	ძილი ნებისა
lightly	ცოტა
hoof	საქონელი
კარგი საქონელი	კარგი საქონელია
is	არი
be	არის
you're welcome	არაფერს
nothing	არაფერი
hairless	წყლტუ
stupid	გოიმი
stone	წიპწა
grape	კიმპალი
sediment	თხლე
earthenware vessel	ქვევრი
snot	კინკლი
bird	სირი
კანონიერი ქურდი	კანონიერი ქურდი
Georgian	Ⴀ
campaign	ლაშქრობა
silly	სულელი
ark	კიდობანი
far	შორს
